[Base Data Table Definition]
Generated At,2026-02-10 14:06:04

Table Name,Column Name,Data Type,Nullable,Description (Comment)
base_bunker_consumption_port,base_year_month,character varying,NO,Base Year Month
base_bunker_consumption_port,nominal_capacity,integer,NO,Nominal Capacity
base_bunker_consumption_port,port_stay_bunker_consumption,numeric,NO,Port Stay Consumption
base_bunker_consumption_port,idling_bunker_consumption,numeric,NO,Idling Consumption
base_bunker_consumption_port,pilot_inout_bunker_consumption,numeric,NO,Pilot In/Out Consumption
base_bunker_consumption_sea,base_year_month,character varying,NO,Base Year Month
base_bunker_consumption_sea,nominal_capacity,integer,NO,Nominal Capacity
base_bunker_consumption_sea,sea_speed,numeric,NO,Sea Speed
base_bunker_consumption_sea,bunker_consumption,numeric,NO,Bunker Consumption
base_bunker_price,base_year_month,character varying,NO,Base Year Month
base_bunker_price,trade_code,character varying,NO,Trade Code
base_bunker_price,lane_code,character varying,NO,Lane Code
base_bunker_price,bunker_type,character varying,NO,Bunker Type
base_bunker_price,bunker_price,numeric,NO,Bunker Price
base_constraint_fixed_deployment,lane_code,character varying,NO,Lane Code
base_constraint_fixed_deployment,vessel_code,character varying,NO,Vessel Code
base_constraint_fixed_deployment,deployment_type,character varying,NO,Deployment Type
base_constraint_fixed_deployment,remark,character varying,YES,Remark
base_constraint_fixed_schedule_change,vessel_code,character varying,NO,Vessel Code
base_constraint_fixed_schedule_change,port_code,character varying,NO,Port Code
base_constraint_fixed_schedule_change,schedule_change_status_code,character varying,YES,Change Status
base_constraint_fixed_schedule_change,eta,timestamp with time zone,NO,ETA
base_constraint_fixed_schedule_change,remark,character varying,YES,Remark
base_constraint_port,port_code,character varying,NO,Port Code
base_constraint_port,terminal_code,character varying,NO,Terminal Code
base_constraint_port,exclude_vessel_class,character varying,YES,Excluded Vessel Class
base_cost_canal_fee,vessel_code,character varying,NO,Vessel Code
base_cost_canal_fee,direction,character varying,NO,Direction
base_cost_canal_fee,port_code,character varying,NO,Port Code
base_cost_canal_fee,canal_fee,numeric,NO,Canal Fee
base_cost_distance,from_port_code,character varying,NO,From Port Code
base_cost_distance,to_port_code,character varying,NO,To Port Code
base_cost_distance,distance,integer,NO,Distance
base_cost_distance,eca_distance,integer,NO,ECA Distance
base_cost_ts_cost,base_year_month,character varying,NO,Base Year Month
base_cost_ts_cost,port_code,character varying,NO,Port Code
base_cost_ts_cost,ts_cost,integer,NO,TS Cost
base_schedule_long_range,lane_code,character varying,NO,Lane Code
base_schedule_long_range,vessel_code,character varying,NO,Vessel Code
base_schedule_long_range,voyage_number,character varying,NO,Voyage Number
base_schedule_long_range,direction,character varying,NO,Direction
base_schedule_long_range,start_port_berthing_year_week,character varying,NO,Start Port Berthing Year Week
base_schedule_long_range,proforma_name,character varying,NO,Proforma Name
base_schedule_long_range,port_code,character varying,NO,Port Code
base_schedule_long_range,calling_port_indicator,character varying,NO,Calling Port Indicator Seq.
base_schedule_long_range,calling_port_seq,integer,NO,Calling Port Seq.
base_schedule_long_range,schedule_change_status_code,character varying,YES,Change Status
base_schedule_long_range,eta,timestamp with time zone,YES,ETA
base_schedule_long_range,etb,timestamp with time zone,YES,ETB
base_schedule_long_range,etd,timestamp with time zone,YES,ETD
base_schedule_long_range,terminal_code,character varying,YES,Terminal Code
base_schedule_proforma,lane_code,character varying,NO,Lane Code
base_schedule_proforma,proforma_name,character varying,NO,Proforma Name
base_schedule_proforma,effective_date,timestamp with time zone,NO,Effective Date
base_schedule_proforma,duration,numeric,NO,Duration
base_schedule_proforma,declared_capacity,character varying,NO,Declared Capacity
base_schedule_proforma,declared_count,integer,NO,Declared Count
base_schedule_proforma,direction,character varying,NO,Direction
base_schedule_proforma,port_code,character varying,NO,Port Code
base_schedule_proforma,calling_port_indicator,character varying,NO,Calling Port Indicator Seq.
base_schedule_proforma,calling_port_seq,integer,NO,Calling Port Seq.
base_schedule_proforma,turn_port_info_code,character varying,NO,Turn Port Info
base_schedule_proforma,pilot_in_hours,numeric,NO,Pilot In Hours
base_schedule_proforma,etb_day_code,character varying,NO,ETB Day Code
base_schedule_proforma,etb_day_time,character varying,NO,ETB Day Time
base_schedule_proforma,etb_day_number,integer,NO,ETB Day Number
base_schedule_proforma,actual_work_hours,numeric,NO,Actual Work Hours
base_schedule_proforma,etd_day_code,character varying,NO,ETD Day Code
base_schedule_proforma,etd_day_time,character varying,NO,ETD Day Time
base_schedule_proforma,etd_day_number,integer,NO,ETD Day Number
base_schedule_proforma,pilot_out_hours,numeric,NO,Pilot Out Hours
base_schedule_proforma,link_distance,integer,NO,Link Distance
base_schedule_proforma,link_eca_distance,integer,YES,Link ECA Distance
base_schedule_proforma,link_speed,numeric,YES,Link Speed
base_schedule_proforma,sea_hours,numeric,YES,Sea Hours
