TRDE_CD,VSL_SVCE_LANE_CD,VSL_CD,SCH_VOY_NR,SCH_DIR_CD,BSA_EFCT_FM_DT,TEU_CAPA,RF_CAPA
TPT,PS7,ZRET,0512,W,2025/06/16 04:00:00,12000,800
TAT,AL5,DNCT,0101,W,2025/01/20 15:00:00,3800,330
TPT,CP8,HERT,0050,W,2025/01/10 12:30:00,9200,900
TPT,PN4,MCWT,0230,E,2025/01/13 15:00:00,7200,630
MET,MD1,ZOST,0012,E,2025/01/04 20:00:00,13500,100
EAT,BH2,GCLT,0164,E,2025/08/04 05:00:00,2100,398
EAT,BH2,GCLT,0146,E,2025/03/31 05:00:00,2100,398
EAT,BH2,GCLT,0158,E,2025/06/23 05:00:00,2100,398
EAT,JID,MXPT,0087,S,2025/02/22 07:30:00,3800,330
EAT,BH2,GCLT,0151,E,2025/05/05 05:00:00,2100,398
EAT,BH2,GCLT,0143,W,2025/03/06 12:00:00,2100,398
EAT,JID,BKGT,0194,S,2025/03/29 07:30:00,300,330
EAT,JID,SNKT,0120,S,2025/03/08 07:30:00,2800,300
EAT,BH2,GCLT,0137,E,2025/01/27 05:00:00,2100,398
FWT,SW2,WBKT,0027,E,2025/03/22 21:00:00,2800,300
WAT,NCI,SEFT,0095,E,2025/02/24 05:00:00,1000,100
FET,EA4,ZGST,0449,E,2025/01/01 12:30:00,1000,100
EAT,JSM,AHHT,0167,S,2025/01/04 06:00:00,3800,450
EAT,JSM,AHHT,0167,N,2025/01/18 21:00:00,3800,450
EAT,JSM,AXBT,0078,S,2025/02/08 06:00:00,1000,100
EAT,JSM,AXBT,0077,N,2025/01/25 21:00:00,1000,100
FWT,AIM,OTTT,2504,W,2025/01/31 05:00:00,2050,350
EAT,JSM,LOVT,0026,N,2025/02/22 21:00:00,2800,12
FET,EA4,ZGST,0456,E,2025/02/19 12:30:00,1000,100
EAT,CIM,NDLT,0157,N,2025/04/21 10:30:00,1800,240
TPT,PN1,MQDT,0082,E,2025/01/21 09:00:00,5800,500
EAT,BH2,GCLT,0145,E,2025/03/24 05:00:00,2100,398
EAT,BH2,GCLT,0162,W,2025/07/17 12:00:00,2100,398
EAT,BH2,GCLT,0147,W,2025/04/03 12:00:00,2100,398
LWT,AX3,YDET,0038,W,2025/04/09 03:00:00,8500,1000
EAT,JK2,ICLT,0150,E,2025/02/18 02:00:00,25,10
LWT,MAR,NLAT,0653,W,2025/06/24 11:00:00,2100,330
LWT,MAR,NJOT,0196,E,2025/06/03 04:00:00,2100,330
TPT,PS3,CRNT,0094,W,2025/01/05 04:00:00,7200,630
EAT,PHX,RCMT,0073,S,2025/01/17 03:00:00,1900,300
LWT,AX3,LIAT,2511,E,2025/03/08 04:00:00,8900,1000
LWT,AX3,ORIT,2503,E,2025/01/18 04:00:00,8900,1000
EAT,JK2,ICLT,0146,E,2025/01/21 02:00:00,25,10
TPT,EC6,ONMT,0072,W,2025/01/27 19:00:00,6200,500
MET,MD2,OFVT,0004,W,2025/01/19 20:00:00,13500,1000
TPT,PN1,OEAT,0078,W,2025/03/13 17:00:00,5850,520
MET,MD2,ZELT,0017,E,2025/02/23 22:00:00,13500,1000
OCT,WAU,XIMT,0461,S,2025/02/24 06:00:00,2750,300
OCT,WAU,XIMT,0464,S,2025/03/17 06:00:00,2750,300
OCT,WAU,XIMT,0459,N,2025/02/13 05:30:00,2750,300
EAT,JPH,SZET,2133,S,2025/01/25 15:00:00,1900,200
TPT,EC6,CMJT,0061,E,2025/01/19 11:00:00,7200,630
WAT,TE1,ERNT,0101,E,2025/01/26 06:00:00,3200,320
TPT,PS3,MITT,0067,W,2025/01/12 04:00:00,7500,630
LWT,AX3,SSBT,2514,E,2025/03/29 04:00:00,8900,1000
WAT,TE1,ERNT,0102,W,2025/02/11 11:00:00,2600,260
TPT,EC5,NCFT,0028,W,2025/01/20 16:00:00,12500,800
EFT,SRX,ORXT,0245,N,2025/01/15 05:00:00,5600,1176
EAT,JV2,YPLT,0013,N,2025/01/25 21:00:00,2000,250
EAT,JID,MXPT,0086,S,2025/01/25 07:30:00,3800,330
WAT,CCX,SOKT,0024,E,2025/04/25 07:00:00,2850,300
WAT,CCX,SOKT,0023,W,2025/03/04 09:00:00,2850,300
WAT,SIG,DAPT,0872,E,2025/02/12 05:30:00,2350,300
EAT,JT1,XCLT,0306,S,2025/02/05 22:00:00,2200,200
EAT,JK1,CNFT,0203,E,2025/02/26 13:00:00,900,90
EAT,JK1,CNFT,0200,E,2025/02/05 13:00:00,900,90
EAT,JV2,YPLT,0014,N,2025/02/15 21:00:00,2000,250
EAT,JK1,CNFT,0206,W,2025/03/22 07:00:00,900,90
EAT,JPH,SZET,2133,N,2025/02/06 07:00:00,1900,200
EAT,JT1,APRT,0270,N,2025/03/23 12:00:00,2200,200
EAT,JVH,SWRT,0108,S,2025/03/10 03:30:00,1300,195
EAT,JVH,SWRT,0105,N,2025/01/05 20:00:00,1300,195
EAT,JVH,MART,0039,N,2025/03/16 20:00:00,1300,195
EAT,SMM,FLNT,0928,S,2025/02/04 02:30:00,900,135
EAT,JVH,QPRT,0210,S,2025/02/24 03:30:00,1300,195
OCT,AUN,WAHT,0507,N,2025/02/08 12:00:00,5400,400
EAT,JPH,LSFT,0220,N,2025/06/05 21:00:00,1950,240
IET,NTX,EDWT,0094,N,2025/03/29 16:00:00,2880,300
NET,IOS,NVTT,0088,E,2025/01/05 13:00:00,7200,600
OCT,AUE,ARET,0110,N,2025/02/10 20:30:00,4200,380
LET,SX1,SHET,2509,W,2025/02/28 02:00:00,9150,1400
LWT,AX1,RGST,2463,E,2025/03/04 21:00:00,8900,1000
LWT,AX1,SBST,2508,W,2025/03/26 17:00:00,8500,8500
OCT,NZJ,NFGT,0099,S,2025/02/27 13:00:00,3300,500
TAT,AL5,NRET,0077,E,2025/01/29 14:00:00,3800,330
TAT,AL5,NROT,0073,E,2025/04/17 02:00:00,3800,330
NET,FE3,TLIT,0004,E,2025/02/28 11:00:00,21000,2160
TAT,AL5,NDDT,0089,E,2025/01/22 14:00:00,3800,330
EAT,JVH,BRFT,0001,N,2025/01/04 08:00:00,1300,195
EAT,CTP,TUNT,0004,N,2025/01/04 21:00:00,2000,200
WAT,TIP,OABT,0014,W,2025/03/11 02:00:00,4200,420
TPT,EC5,ODDT,0025,W,2025/01/13 16:00:00,12500,800
NET,FE4,ISPT,0005,W,2025/05/11 20:00:00,21000,2160
EAT,JT1,GEAT,0041,N,2025/02/02 12:00:00,2200,200
EAT,JT1,GEAT,0044,S,2025/03/26 22:00:00,2200,200
EAT,KC2,NIST,0169,S,2025/03/27 01:00:00,2100,200
WAT,TIP,MSQT,0024,W,2025/06/17 01:00:00,3800,480
EAT,CTP,TUNT,0006,S,2025/03/17 10:00:00,2000,200
WAT,TIP,OABT,0012,E,2025/01/13 17:00:00,4200,420
EAT,CTP,TUNT,0006,N,2025/03/01 21:00:00,2000,200
WAT,TIP,CDST,0019,E,2025/03/10 17:00:00,4200,420
NET,FE4,ONVT,0007,E,2025/05/16 12:00:00,21000,2160
FET,SAS,SNTT,0114,E,2025/03/05 08:00:00,3800,300
EAT,JK2,ICLT,0168,E,2025/07/08 02:00:00,25,10
LET,SX1,OZAT,2505,W,2025/01/31 02:00:00,9150,1400
TAT,EMA,KGST,0017,W,2025/11/14 05:00:00,2850,300
FET,EA3,BKGT,0507,W,2025/02/26 15:00:00,2700,200
EAT,JSM,BHHT,0007,N,2025/03/29 21:00:00,1000,100
EAT,JSM,AHHT,0170,S,2025/03/29 06:00:00,3800,450
EFT,SRX,ORXT,0250,S,2025/02/24 08:00:00,5600,1176
LET,CX1,GMET,0505,S,2025/01/30 07:00:00,1800,200
LET,CX1,SIAT,0503,N,2025/01/21 14:00:00,1800,200
LET,CX1,GMET,0505,N,2025/02/04 14:00:00,1800,200
FET,EA4,ZGST,0457,W,2025/01/30 16:00:00,1000,100
LET,CX1,GMET,0501,N,2025/01/07 14:00:00,1800,200
EAT,JSM,WQTT,0010,N,2025/04/26 21:00:00,1000,100
LWT,MAR,NLAT,0652,E,2025/05/06 04:00:00,2100,330
EAT,JPH,SZET,2138,S,2025/05/17 15:00:00,1900,200
EAT,JK1,CNFT,0210,E,2025/04/16 13:00:00,900,90
EAT,JK1,CNFT,0211,E,2025/04/23 13:00:00,900,90
EAT,KCI,PGST,0009,N,2025/06/30 22:00:00,2100,260
EAT,KCI,PGST,0009,S,2025/06/17 08:00:00,2100,260
EAT,JVH,MART,0041,N,2025/04/27 20:00:00,1300,195
EAT,JVH,MART,0042,N,2025/05/18 20:00:00,1300,195
EAT,JVH,QPRT,0213,S,2025/04/28 03:30:00,1300,195
EAT,JVH,MART,0041,S,2025/04/14 03:30:00,1300,195
EAT,JVH,QPRT,0213,N,2025/05/11 20:00:00,1300,195
EAT,JK1,CNFT,0220,E,2025/06/25 13:00:00,900,90
EAT,JSM,AHHT,0170,N,2025/04/12 21:00:00,3800,450
EAT,JVH,QPRT,0214,S,2025/05/19 03:30:00,1300,195
EAT,JSM,AHHT,0173,S,2025/06/21 06:00:00,3800,450
EAT,JSM,BHHT,0009,S,2025/05/10 06:00:00,1000,100
EAT,JSM,WQTT,0011,N,2025/05/24 21:00:00,1000,100
EAT,JSM,BHHT,0010,N,2025/06/21 21:00:00,1000,100
WAT,SMX,BFGT,2504,E,2025/02/10 17:00:00,1000,100
OCT,WAU,XIMT,0507,N,2025/02/20 05:30:00,2750,300
OCT,WAU,GRET,0502,N,2025/01/09 05:30:00,2750,300
TPT,EC1,ONNT,0061,W,2025/07/06 17:30:00,7500,630
EAT,PHX,JJST,0013,N,2025/03/14 14:00:00,1900,300
NET,FE2,TIRT,0027,E,2025/03/03 13:00:00,18300,1000
OCT,WAU,GRET,0512,N,2025/03/20 05:30:00,2750,300
LWT,AX3,SSBT,2501,W,2025/02/05 03:00:00,8900,1000
LWT,AX3,ZRET,2509,E,2025/03/01 04:00:00,8900,1000
TAT,EMA,KGST,0013,W,2025/04/18 05:00:00,2850,300
EFT,SRX,ORYT,0250,N,2025/03/05 05:00:00,5600,1176
OCT,WAU,GRET,0504,S,2025/01/20 06:00:00,2750,300
LWT,AX2,SEYT,2504,W,2025/02/25 15:00:00,8500,100
WAT,CIP,GWBT,0034,E,2025/03/01 02:00:00,5200,1176
EAT,CTP,RCMT,0080,S,2025/05/05 10:00:00,2000,200
TPT,EC3,NCMT,0027,E,2025/04/26 05:00:00,12500,800
LUT,LUX,NDOT,0018,N,2025/05/17 00:00:00,3200,330
TPT,AHX,TLHT,0072,E,2025/01/07 00:00:00,860,86
EAT,CIM,NDLT,0160,S,2025/06/21 23:00:00,1800,240
LET,CX1,CYCT,0503,N,2025/01/21 14:00:00,1800,200
TPT,PS7,SPDT,2435,W,2025/04/14 04:00:00,8900,900
EAT,CIM,NDLT,0158,N,2025/05/12 10:30:00,1800,240
TPT,EC3,NCMT,0027,W,2025/06/15 04:30:00,12500,800
TPT,EC3,OAQT,0028,W,2025/06/08 04:30:00,12200,800
TPT,EC3,OMLT,0043,W,2025/05/18 04:30:00,12500,800
EAT,CIM,NDLT,0160,N,2025/06/29 22:00:00,1800,240
TPT,EC3,OMIT,0041,W,2025/06/29 04:30:00,12500,800
WAT,SIG,SIAT,0452,W,2025/07/05 15:00:00,1000,100
WAT,SIG,SIAT,0453,E,2025/08/27 05:30:00,1000,100
WAT,SIG,SIAT,0451,E,2025/06/18 05:30:00,1000,100
LWT,AX2,OCBT,2508,W,2025/03/25 15:00:00,12500,800
EAT,JID,BKGT,0196,S,2025/05/24 07:30:00,300,330
EAT,JT1,GEAT,0048,S,2025/06/18 22:00:00,2200,200
EAT,JT1,XCLT,0309,N,2025/04/20 12:00:00,2200,200
EAT,JVH,SWRT,0111,S,2025/05/26 03:30:00,1300,195
IET,BBX,NECT,0025,S,2025/01/29 04:00:00,950,200
TPT,PS6,OMDT,0074,W,2025/02/01 14:00:00,6200,500
EAT,JV2,CBDT,0271,N,2025/06/07 21:00:00,2000,250
EAT,JV2,YPLT,1019,S,2025/06/04 15:00:00,2000,250
FWT,AIM,DLAT,2509,W,2025/02/28 05:00:00,2850,300
EAT,JT1,OTTT,0510,S,2025/04/02 22:00:00,2050,350
LWT,MAR,NJOT,0195,E,2025/04/29 04:00:00,2100,330
EAT,KC2,NIST,0172,S,2025/06/26 01:00:00,2100,200
TPT,PN1,PXET,0002,E,2025/03/13 05:00:00,5100,500
LWT,MAR,NKST,0426,E,2025/06/24 04:00:00,2100,330
EAT,JT1,GEAT,0046,S,2025/05/07 22:00:00,2200,200
EAT,PHX,GCLT,0131,S,2025/05/09 03:00:00,2100,398
LNT,ANG,RDVT,2515,N,2025/05/07 16:00:00,1000,100
EAT,SMM,FLNT,0933,S,2025/03/28 03:30:00,900,135
EAT,JK2,ICLT,0162,W,2025/05/28 08:00:00,25,10
EAT,PH3,SEUT,0037,W,2025/05/16 09:00:00,860,100
FET,MIM,YDNT,0093,W,2025/05/27 17:00:00,1260,280
