VSL_CD,VSL_NM,NMNL_CAPA,OWN_YN,CTRK_ACTL_DEL_DT,DEL_MAX_DT,CTRK_ACTL_RDEL_DT,RDEL_MAX_DT,NEXT_DK_DUE_DT,NEXT_DK_IN_DT,NEXT_DK_OUT_DT,NEXT_DK_SHPYD_NM,BLT_YEAR_NM,SHPYD_NM
CETT,ONE COMPETENCE,8110,C,2018/04/01 00:00:00,2018/04/01 00:00:00,2027/12/27 00:00:00,2028/04/27 00:00:00,,,, IMC Zhoushan shipyard,,
NRIT,NYK RIGEL,4922,C,2018/05/03 00:00:00,2018/05/02 00:00:00,2029/02/15 00:00:00,2029/06/15 00:00:00,,,,,,
NDMT,NYK DEMETER,4888,C,2018/04/17 00:00:00,2018/04/17 00:00:00,2027/10/07 00:00:00,2028/02/07 00:00:00,,,,,,
NFGT,NYK FUTAGO,4538,C,2018/04/01 00:00:00,2018/04/02 00:00:00,2029/04/15 00:00:00,2029/04/15 00:00:00,,,,,,
NVST,NYK VENUS,9012,C,2018/05/03 00:00:00,2018/05/04 00:00:00,2026/07/12 00:00:00,2026/11/12 00:00:00,,,,,,
NVTT,NYK VESTA,9012,C,2018/05/01 00:00:00,2018/05/01 00:00:00,2026/07/06 00:00:00,2026/11/06 00:00:00,,,,,,
NCAT,NYK CLARA,2700,C,2018/04/17 00:00:00,2018/04/17 00:00:00,2026/02/14 00:00:00,2026/02/14 00:00:00,2025/09/08 00:00:00,,,,,
APRT,ACX PEARL,2858,C,2023/10/24 00:00:00,2023/12/01 00:00:00,2026/07/30 00:00:00,2026/11/15 00:00:00,2025/11/23 00:00:00,,,,,
DIAT,ACX DIAMOND,2858,C,2018/04/08 00:00:00,2018/04/08 00:00:00,2026/05/06 00:00:00,2026/05/07 00:00:00,,,,,,
NJOT,NYK JOANNA,2664,C,2018/04/10 00:00:00,2018/04/11 00:00:00,2027/02/06 00:00:00,2027/02/06 00:00:00,,,,,,
TLHT,TALLAHASSEE,1042,C,2018/04/14 00:00:00,2018/04/14 00:00:00,2026/02/23 00:00:00,2026/06/23 00:00:00,,,,,,
NKST,NYK SILVIA,2664,C,2018/08/13 00:00:00,2018/08/14 00:00:00,2027/10/09 00:00:00,2027/10/09 00:00:00,,,,,,
NLAT,NYK LAURA,2664,C,2018/04/10 00:00:00,2018/04/10 00:00:00,2027/02/27 00:00:00,2027/02/27 00:00:00,,,,,,
NFUT,NYK FURANO,4538,C,2018/04/03 00:00:00,2018/04/03 00:00:00,2030/03/29 00:00:00,2030/03/29 00:00:00,,,,,,
NFMT,NYK FUSHIMI,4538,C,2018/04/03 00:00:00,2018/04/04 00:00:00,2030/02/28 00:00:00,2030/02/28 00:00:00,,,,,,
NFJT,NYK FUJI,4538,C,2018/04/19 00:00:00,2018/04/19 00:00:00,2029/04/10 00:00:00,2029/11/04 00:00:00,,,,,,
NDLT,NYK DANIELLA,2664,C,2018/04/18 00:00:00,2018/04/18 00:00:00,2026/06/12 00:00:00,2026/06/12 00:00:00,2025/08/19 00:00:00,,,,,
XCLT,ACX CRYSTAL,2858,C,2018/04/16 00:00:00,2018/04/16 00:00:00,2026/08/02 00:00:00,2028/10/25 00:00:00,,,,,,
ONPT,ONE APUS,14052,C,2019/04/19 00:00:00,2019/04/19 00:00:00,2034/04/19 00:00:00,2034/04/19 00:00:00,,,,,,
ONYT,ONE CYGNUS,14052,C,2019/07/10 00:00:00,2019/07/05 00:00:00,2034/07/05 00:00:00,2034/07/10 00:00:00,2027/09/27 00:00:00,,,,,
NRUT,NYK RUMINA,4922,C,2018/04/21 00:00:00,2018/04/21 00:00:00,2029/10/10 00:00:00,2030/02/10 00:00:00,2025/06/08 00:00:00,,,,,
NRET,NYK REMUS,4922,C,2018/04/04 00:00:00,2018/04/04 00:00:00,2029/01/27 00:00:00,2029/05/27 00:00:00,,,,,,
NNBT,NYK NEBULA,4888,C,2018/04/11 00:00:00,2018/04/11 00:00:00,2027/09/13 00:00:00,2028/01/13 00:00:00,2025/04/19 00:00:00,,,,,
NDDT,NYK DAEDALUS,4922,C,2018/04/17 00:00:00,2018/04/17 00:00:00,2027/07/12 00:00:00,2027/11/12 00:00:00,2025/09/26 00:00:00,2025/09/17 00:00:00,2025/10/08 00:00:00,HRDD, Shanghai,,
NVET,NYK VEGA,9012,C,2018/04/26 00:00:00,2018/04/26 00:00:00,2026/04/01 00:00:00,2026/08/01 00:00:00,,,,,,
NROT,NYK ROMULUS,4922,C,2018/04/01 00:00:00,2018/04/01 00:00:00,2029/08/15 00:00:00,2029/12/15 00:00:00,,2025/02/12 00:00:00,2025/03/05 00:00:00,EDR shipyard, Antwerp,,
NDIT,NYK DIANA,4888,C,2018/04/04 00:00:00,2018/04/04 00:00:00,2027/11/21 00:00:00,2028/03/21 00:00:00,,,,,,
NCNT,NYK CONSTELLATION,4888,C,2018/04/11 00:00:00,2018/04/11 00:00:00,2027/08/09 00:00:00,2027/12/09 00:00:00,,,,,,
NMTT,NYK METEOR,4888,C,2018/04/20 00:00:00,2018/04/20 00:00:00,2027/08/23 00:00:00,2027/12/23 00:00:00,,,,,,
NONT,NYK ORION,9040,C,2018/04/11 00:00:00,2018/04/10 00:00:00,2028/01/13 00:00:00,2028/05/13 00:00:00,,,,,,
NVOT,NYK VIRGO,9012,C,2018/04/03 00:00:00,2018/04/03 00:00:00,2027/03/29 00:00:00,2027/07/29 00:00:00,2025/08/02 00:00:00,,,,,
