BSE_YM,PORT_CD,CUR_CD,TONN_PORT_YN,CONT_NRMNL_CAP,PORT_CHG_AMT
202501,AEAUH,AED,N,4000,27873.67
202501,AEAUH,AED,N,6000,33317
202501,AEAUH,AED,N,8000,38735
202501,AEAUH,AED,N,10000,44082
202501,AEAUH,AED,N,13000,56118.67
202501,AEAUH,AED,N,20000,68087.67
202501,AEJEA,AED,N,4000,28582
202501,AEJEA,AED,N,6000,35403
202501,AEJEA,AED,N,8000,43636.33
202501,AEJEA,AED,N,10000,50786
202501,AEJEA,AED,N,13000,62402.67
202501,AEJEA,AED,N,20000,81853
202501,BEANR,EUR,N,4000,38069.67
202501,BEANR,EUR,N,6000,48812.67
202501,BEANR,EUR,N,8000,55613.33
202501,BEANR,EUR,N,10000,63459.67
202501,BEANR,EUR,N,13000,72635.33
202501,BEANR,EUR,N,20000,89612.67
202501,CAHAL,CAD,N,4000,25032
202501,CAHAL,CAD,N,6000,38825
202501,CAHAL,CAD,N,8000,44625
202501,CAHAL,CAD,N,10000,48131
202501,CAHAL,CAD,N,13000,53616
202501,CAHAL,CAD,N,20000,64570
202501,CAPRR,CAD,N,4000,57440.33
202501,CAPRR,CAD,N,6000,73016.33
202501,CAPRR,CAD,N,8000,90086
202501,CAPRR,CAD,N,10000,109357.33
202501,CAPRR,CAD,N,13000,119134
202501,CAPRR,CAD,N,20000,136773.67
202501,CASJB,CAD,N,4000,25032
202501,CASJB,CAD,N,6000,38825
202501,CASJB,CAD,N,8000,44625
202501,CASJB,CAD,N,10000,48131
202501,CASJB,CAD,N,13000,53616
202501,CASJB,CAD,N,20000,64570
202501,CAVAN,CAD,N,4000,47683.67
202501,CAVAN,CAD,N,6000,51340.45
202501,CAVAN,CAD,N,8000,60003.33
202501,CAVAN,CAD,N,10000,73018
202501,CAVAN,CAD,N,13000,83497
202501,CAVAN,CAD,N,20000,92188.33
202501,CN,CNY,Y,4000,106186.4
202501,CN,CNY,Y,6000,149317.4
202501,CN,CNY,Y,8000,196514.73
202501,CN,CNY,Y,10000,309861.8
202501,CN,CNY,Y,13000,363708.6
202501,CN,CNY,Y,20000,499731.8
202501,CNNBO,CNY,N,4000,94732.44
202501,CNNBO,CNY,N,6000,118029.22
202501,CNNBO,CNY,N,8000,143721.19
202501,CNNBO,CNY,N,10000,169865.07
202501,CNNBO,CNY,N,13000,207256.8
202501,CNNBO,CNY,N,20000,280764.91
202501,CNNGB,CNY,N,4000,94732.44
202501,CNNGB,CNY,N,6000,118029.22
202501,CNNGB,CNY,N,8000,143721.19
202501,CNNGB,CNY,N,10000,169865.07
202501,CNNGB,CNY,N,13000,207256.8
202501,CNNGB,CNY,N,20000,280764.91
202501,CNNSA,CNY,N,4000,69816.61
202501,CNNSA,CNY,N,6000,84554.37
202501,CNNSA,CNY,N,8000,101445.79
202501,CNNSA,CNY,N,10000,126857.22
202501,CNNSA,CNY,N,13000,142980.54
202501,CNNSA,CNY,N,20000,185428.5
202501,CNNSS,CNY,N,4000,69816.61
202501,CNNSS,CNY,N,6000,84554.37
202501,CNNSS,CNY,N,8000,101445.79
202501,CNNSS,CNY,N,10000,126857.22
202501,CNNSS,CNY,N,13000,142980.54
202501,CNNSS,CNY,N,20000,185428.5
202501,CNSHA,CNY,N,4000,108445.94
202501,CNSHA,CNY,N,6000,145460.13
202501,CNSHA,CNY,N,8000,166906.34
202501,CNSHA,CNY,N,10000,205249.2
202501,CNSHA,CNY,N,13000,239540.16
202501,CNSHA,CNY,N,20000,332641.37
202501,CNSHG,CNY,N,4000,108445.94
202501,CNSHG,CNY,N,6000,145460.13
202501,CNSHG,CNY,N,8000,166906.34
202501,CNSHG,CNY,N,10000,205249.2
202501,CNSHG,CNY,N,13000,239540.16
202501,CNSHG,CNY,N,20000,332641.37
202501,CNSHK,CNY,N,4000,79580.56
202501,CNSHK,CNY,N,6000,106449.75
202501,CNSHK,CNY,N,8000,117437.2
202501,CNSHK,CNY,N,10000,134838.63
202501,CNSHK,CNY,N,13000,150011.92
202501,CNSHK,CNY,N,20000,184086.96
202501,CNTAO,CNY,N,4000,88179.37
202501,CNTAO,CNY,N,6000,99514.94
202501,CNTAO,CNY,N,8000,137643.53
202501,CNTAO,CNY,N,10000,172415.15
202501,CNTAO,CNY,N,13000,196333.64
202501,CNTAO,CNY,N,20000,260318.8
202501,CNTXG,CNY,N,4000,88179.37
202501,CNTXG,CNY,N,6000,99514.94
202501,CNTXG,CNY,N,8000,137643.53
202501,CNTXG,CNY,N,10000,172415.15
202501,CNTXG,CNY,N,13000,196333.64
202501,CNTXG,CNY,N,20000,260318.8
202501,CNXMN,CNY,N,4000,80455.52
202501,CNXMN,CNY,N,6000,91038
202501,CNXMN,CNY,N,8000,109413.94
202501,CNXMN,CNY,N,10000,135379.4
202501,CNXMN,CNY,N,13000,150240.54
202501,CNXMN,CNY,N,20000,212531.76
202501,CNYSA,CNY,N,4000,94448.97
202501,CNYSA,CNY,N,6000,118934.56
202501,CNYSA,CNY,N,8000,137653.14
202501,CNYSA,CNY,N,10000,158366.4
202501,CNYSA,CNY,N,13000,187568.95
202501,CNYSA,CNY,N,20000,268335.22
202501,CNYTN,CNY,N,4000,61844.39
202501,CNYTN,CNY,N,6000,75455.17
202501,CNYTN,CNY,N,8000,86729.39
202501,CNYTN,CNY,N,10000,107491.3
202501,CNYTN,CNY,N,13000,118887.65
202501,CNYTN,CNY,N,20000,163463.8
202501,CNZOS,CNY,N,4000,94732.44
202501,CNZOS,CNY,N,6000,118029.22
202501,CNZOS,CNY,N,8000,143721.19
202501,CNZOS,CNY,N,10000,169865.07
202501,CNZOS,CNY,N,13000,207256.8
202501,CNZOS,CNY,N,20000,280764.91
202501,COBUN,USD,N,4000,14555.43
202501,COBUN,USD,N,6000,17444.61
202501,COBUN,USD,N,8000,21822.02
202501,COBUN,USD,N,10000,25222.48
202501,COBUN,USD,N,13000,29723.23
202501,COBUN,USD,N,20000,38683.5
202501,COCNR,USD,N,4000,14555.43
202501,COCNR,USD,N,6000,17444.61
