FM_PORT_CD,TO_PORT_CD,DSTN,ECA_DSTN
AEAUH,AEJEA,59,0
AEAUH,MYPKG,3370,0
AEAUH,OMSOH,320,0
AEAUH,SGSIN,3563,0
AEJEA,CNSHA,5667,0
AEJEA,HKHKG,4940,0
AEJEA,IQUQR,432,0
AEJEA,MYPKG,3316,0
AEJEA,OMSOH,264,0
AEJEA,QAHMD,196,0
AEJEA,SADMM,289,0
AEJEA,SAJUB,307,0
AEJEA,SGSIN,3509,0
AEJEA,THLCH,4259,0
BEANR,CAHAL,2695,872
BEANR,DEBRV,264,264
BEANR,DEHAM,267,267
BEANR,DEWVN,329,329
BEANR,EGSCA,3296,352
BEANR,EGSUZ,3296,352
BEANR,ESALG,1603,352
BEANR,FRLEH,169,169
BEANR,GBFXT,141,141
BEANR,GBLGP,67,67
BEANR,GBSOU,148,148
BEANR,GRPIR,2825,352
BEANR,LKCMB,10511,375
BEANR,MATNG,1403,352
BEANR,MXTUX,5091,375
BEANR,MXVER,5082,375
BEANR,NLRTM,64,64
BEANR,SGSIN,11760,375
BEANR,USMIA,4114,347
BEANR,USORF,3539,605
BEANR,USPEF,3488,657
BEANR,USSAV,3802,797
BEZEE,BEANR,87,87
BEZEE,DEHAM,347,347
CAHAL,AEJEA,10834,282
CAHAL,BEANR,2695,872
CAHAL,CASJB,276,276
CAHAL,COCNR,2152,282
CAHAL,DEBRV,2969,1086
CAHAL,DEHAM,2844,1211
CAHAL,EGSCA,4709,379
CAHAL,EGSUZ,4709,379
CAHAL,FRLEH,2562,877
CAHAL,GBLGP,2680,841
CAHAL,GBSOU,2506,841
CAHAL,MXVER,2391,276
CAHAL,NLRTM,2752,917
CAHAL,PAPCA,2337,276
CAHAL,SGSIN,12083,379
CAHAL,USNYC,561,561
CAHAL,USPEF,1409,331
CAHAL,USSAV,1108,1108
CAPRR,CAVAN,553,553
CAPRR,KRPUS,4130,322
CAPRR,USLAX,1410,1410
CAPRR,USSEA,497,497
CAPRR,USTIW,557,557
CASJB,CAHAL,295,295
CASJB,GBSOU,2810,840
CAVAN,CAPRR,553,553
CAVAN,CNTAO,5065,458
CAVAN,CNXMN,5497,458
CAVAN,JPTYO,4225,458
CAVAN,JPUKB,4536,458
CAVAN,KRKAN,4570,458
CAVAN,KRPUS,4571,458
CAVAN,NLRTM,9088,833
CAVAN,PAPCA,4066,1212
CAVAN,PAPCN,4066,1212
CAVAN,SGSIN,7055,458
CAVAN,TWKHH,5511,458
CAVAN,USLAX,1105,1105
CAVAN,USLGB,1102,1102
CAVAN,USOAK,770,770
CAVAN,USSEA,1,1
CAVAN,USTIW,1,1
CNCAN,CNTAO,1226,0
CNCAN,HKHKG,50,0
CNCAN,TWKHH,420,0
CNDCB,CNYTN,66,0
CNDLC,CNSHA,519,0
CNDLC,CNTAO,256,0
CNDLC,CNTXG,175,0
CNDLC,KRPUS,553,0
CNFOC,CNXMN,203,0
CNLYG,CNTAO,121,0
CNNBO,CAVAN,5073,457
CNNBO,CNSHA,96,0
CNNBO,CNSHG,103,0
CNNBO,CNSHK,728,0
