BSE_YM,VSL_SVCE_LANE_CD,BNK_OIL_TP_CD,BNK_PORT_CD,BNK_RTO
202501,AG1,LSFO,SGSIN,100
202501,AG1,MGO,SGSIN,100
202501,AG2,LSFO,SGSIN,100
202501,AG2,MGO,SGSIN,100
202501,AG3,LSFO,SGSIN,100
202501,AG3,MGO,SGSIN,100
202501,AL1,LSFO,NLRTM,100
202501,AL1,MGO,NLRTM,100
202501,AL2,LSFO,NLRTM,100
202501,AL2,MGO,NLRTM,100
202501,AL3,LSFO,BEANR,100
202501,AL3,MGO,BEANR,100
202501,AL4,LSFO,BEANR,100
202501,AL4,MGO,BEANR,100
202501,AL5,LSFO,NLRTM,70
202501,AL5,LSFO,USLAX,30
202501,AL5,MGO,NLRTM,80
202501,AL5,MGO,USLAX,20
202501,AL6,LSFO,ITGOA,50
202501,AL6,LSFO,USNYC,50
202501,AL6,MGO,USNYC,100
202501,AR1,LSFO,SGSIN,100
202501,AR1,MGO,SGSIN,100
202501,AT1,LSFO,NLRTM,100
202501,AT1,MGO,NLRTM,100
202501,AT2,LSFO,NLRTM,100
202501,AT2,MGO,NLRTM,100
202501,AT3,LSFO,NLRTM,100
202501,AT3,MGO,NLRTM,100
202501,AT4,LSFO,USNYC,100
202501,AT4,MGO,USNYC,100
202501,EC1,LSFO,KRPUS,70
202501,EC1,LSFO,USNYC,30
202501,EC1,MGO,KRPUS,100
202501,EC2,LSFO,KRPUS,60
202501,EC2,LSFO,USORF,40
202501,EC2,MGO,KRPUS,100
202501,EC3,LSFO,CNSHG,60
202501,EC3,LSFO,PABLB,40
202501,EC3,MGO,KRPUS,100
202501,EC4,LSFO,SGSIN,50
202501,EC4,LSFO,USNYC,50
202501,EC4,MGO,SGSIN,100
202501,EC5,LSFO,SGSIN,50
202501,EC5,LSFO,USNYC,50
202501,EC5,MGO,SGSIN,70
202501,EC5,MGO,USNYC,30
202501,EC6,LSFO,HKHKG,100
202501,EC6,MGO,KRPUS,100
202501,FE2,LSFO,NLRTM,70
202501,FE2,LSFO,SGSIN,30
202501,FE2,MGO,NLRTM,70
202501,FE2,MGO,SGSIN,30
202501,FE3,LSFO,NLRTM,70
202501,FE3,LSFO,SGSIN,30
202501,FE3,MGO,NLRTM,70
202501,FE3,MGO,SGSIN,30
202501,FE4,LSFO,KRPUS,30
202501,FE4,LSFO,NLRTM,70
202501,FE4,MGO,KRPUS,30
202501,FE4,MGO,NLRTM,70
202501,FE5,LSFO,NLRTM,70
202501,FE5,LSFO,SGSIN,30
202501,FE5,MGO,NLRTM,70
202501,FE5,MGO,SGSIN,30
202501,FP1,LSFO,NLRTM,60
202501,FP1,LSFO,SGSIN,40
202501,FP1,MGO,NLRTM,70
202501,FP1,MGO,SGSIN,30
202501,FP2,LSFO,NLRTM,60
202501,FP2,LSFO,SGSIN,40
202501,FP2,MGO,NLRTM,70
202501,FP2,MGO,SGSIN,30
202501,MD1,LSFO,ESALG,30
202501,MD1,LSFO,SGSIN,70
202501,MD1,MGO,SGSIN,100
202501,MD2,LSFO,ITGOA,30
202501,MD2,LSFO,SGSIN,70
202501,MD2,MGO,SGSIN,100
202501,MD3,LSFO,SGSIN,70
202501,MD3,LSFO,TRIST,30
202501,MD3,MGO,SGSIN,100
202501,MD4,LSFO,SGSIN,100
202501,MD4,MGO,SGSIN,100
202501,MD5,LSFO,SGSIN,100
202501,MD5,MGO,SGSIN,100
202501,MS2,LSFO,SGSIN,100
202501,MS2,MGO,SGSIN,100
202501,PN1,LSFO,CNNBO,50
202501,PN1,LSFO,USTIW,50
202501,PN1,MGO,CNNBO,100
202501,PN2,LSFO,SGSIN,60
202501,PN2,LSFO,USTIW,40
202501,PN2,MGO,SGSIN,100
202501,PN3,LSFO,HKHKG,60
202501,PN3,LSFO,USTIW,40
202501,PN3,MGO,KRPUS,100
202501,PN4,LSFO,KRPUS,60
202501,PN4,LSFO,USTIW,40
202501,PN4,MGO,KRPUS,100
202501,PS3,LSFO,SGSIN,70
202501,PS3,LSFO,USLAX,30
202501,PS3,MGO,SGSIN,100
202501,PS4,LSFO,CNYTN,70
202501,PS4,LSFO,USLAX,30
202501,PS4,MGO,USLAX,100
202501,PS5,LSFO,CNSHG,70
202501,PS5,LSFO,USLAX,30
202501,PS5,MGO,CNSHG,100
202501,PS6,LSFO,CNYSA,70
202501,PS6,LSFO,USLAX,30
202501,PS6,MGO,CNYSA,100
202501,PS7,LSFO,SGSIN,70
202501,PS7,LSFO,USLAX,30
202501,PS7,MGO,SGSIN,100
202501,PS8,LSFO,KRPUS,70
202501,PS8,LSFO,USLAX,30
202501,PS8,MGO,KRPUS,100
202502,AG1,LSFO,SGSIN,100
202502,AG1,MGO,SGSIN,100
202502,AG2,LSFO,SGSIN,100
202502,AG2,MGO,SGSIN,100
202502,AG3,LSFO,SGSIN,100
202502,AG3,MGO,SGSIN,100
202502,AL1,LSFO,NLRTM,100
202502,AL1,MGO,NLRTM,100
202502,AL2,LSFO,NLRTM,100
202502,AL2,MGO,NLRTM,100
202502,AL3,LSFO,BEANR,100
202502,AL3,MGO,BEANR,100
202502,AL4,LSFO,BEANR,100
202502,AL4,MGO,BEANR,100
202502,AL5,LSFO,NLRTM,70
202502,AL5,LSFO,USLAX,30
202502,AL5,MGO,NLRTM,80
202502,AL5,MGO,USLAX,20
202502,AL6,LSFO,ITGOA,50
202502,AL6,LSFO,USNYC,50
202502,AL6,MGO,USNYC,100
202502,AR1,LSFO,SGSIN,100
202502,AR1,MGO,SGSIN,100
202502,AT1,LSFO,NLRTM,100
202502,AT1,MGO,NLRTM,100
202502,AT2,LSFO,NLRTM,100
202502,AT2,MGO,NLRTM,100
202502,AT3,LSFO,NLRTM,100
202502,AT3,MGO,NLRTM,100
202502,AT4,LSFO,USNYC,100
202502,AT4,MGO,USNYC,100
202502,EC1,LSFO,KRPUS,70
202502,EC1,LSFO,USNYC,30
202502,EC1,MGO,KRPUS,100
202502,EC2,LSFO,KRPUS,60
202502,EC2,LSFO,USORF,40
202502,EC2,MGO,KRPUS,100
202502,EC3,LSFO,CNSHG,60
202502,EC3,LSFO,PABLB,40
202502,EC3,MGO,KRPUS,100
202502,EC4,LSFO,SGSIN,50
202502,EC4,LSFO,USNYC,50
202502,EC4,MGO,SGSIN,100
202502,EC5,LSFO,SGSIN,50
202502,EC5,LSFO,USNYC,50
202502,EC5,MGO,SGSIN,70
202502,EC5,MGO,USNYC,30
202502,EC6,LSFO,HKHKG,100
202502,EC6,MGO,KRPUS,100
202502,FE2,LSFO,NLRTM,70
202502,FE2,LSFO,SGSIN,30
202502,FE2,MGO,NLRTM,70
202502,FE2,MGO,SGSIN,30
202502,FE3,LSFO,NLRTM,70
202502,FE3,LSFO,SGSIN,30
202502,FE3,MGO,NLRTM,70
202502,FE3,MGO,SGSIN,30
202502,FE4,LSFO,KRPUS,30
202502,FE4,LSFO,NLRTM,70
202502,FE4,MGO,KRPUS,30
202502,FE4,MGO,NLRTM,70
202502,FE5,LSFO,NLRTM,70
202502,FE5,LSFO,SGSIN,30
202502,FE5,MGO,NLRTM,70
202502,FE5,MGO,SGSIN,30
202502,FP1,LSFO,NLRTM,60
202502,FP1,LSFO,SGSIN,40
202502,FP1,MGO,NLRTM,70
202502,FP1,MGO,SGSIN,30
