BSE_YM,BNK_OIL_TP_CD,TRDE_CD,VSL_SVCE_LANE_CD,BNK_PRCE_USD_VAL
202501,LSFO,MET,MD1,543.84
202501,LSFO,MET,MD2,547.26
202501,LSFO,MET,MD3,558.375
202501,LSFO,MET,MD4,583.05
202501,LSFO,MET,MD5,583.05
202501,LSFO,NET,FE2,517.1
202501,LSFO,NET,FE3,517.1
202501,LSFO,NET,FE4,529.346
202501,LSFO,NET,FP1,520.8
202501,LSFO,TAT,AL2,506
202501,LSFO,TAT,AL3,506
202501,LSFO,TAT,AL4,506
202501,LSFO,TAT,AL5,534.271
202501,LSFO,TAT,AL6,564.981
202501,LSFO,TPT,EC1,580.503
202501,LSFO,TPT,EC2,592.997
202501,LSFO,TPT,EC4,600.841
202501,LSFO,MET,MS2,583.05
202501,LSFO,TPT,EC3,540.956
202501,LSFO,TAT,AT1,542
202501,LSFO,TAT,AT2,542
202501,LSFO,TAT,AT3,542
202501,LSFO,TAT,AT4,542
202501,LSFO,TPT,EC5,557.881
202501,LSFO,TPT,EC6,574.357
202501,LSFO,TPT,FP1,520.8
202501,LSFO,TPT,MS2,583.05
202501,LSFO,TPT,PN1,583.929
202501,LSFO,TPT,PN2,565.172
202501,LSFO,TPT,PN3,583.986
202501,LSFO,TPT,PN4,589.664
202501,LSFO,TPT,PS3,560.171
202501,LSFO,TPT,PS4,582.121
202501,LSFO,TPT,PS5,980.65
202501,LSFO,TPT,PS6,578.672
202501,LSFO,TPT,PS7,560.171
202501,LSFO,WAT,AG1,350.182
202501,LSFO,WAT,AG2,543
202501,LSFO,WAT,AG3,543
202501,MGO,MET,MD1,673.25
202501,MGO,MET,MD2,673.25
202501,MGO,MET,MD3,673.25
202501,MGO,MET,MD4,583.05
202501,MGO,MET,MD5,583.05
202501,MGO,MET,MS2,583.05
202501,MGO,NET,FE2,654.63
202501,MGO,NET,FE3,654.63
202501,MGO,NET,FE4,658.451
202501,MGO,NET,FP1,654.63
202501,MGO,TAT,AL2,646.65
202501,MGO,TAT,AL3,646.65
202501,MGO,TAT,AL4,646.65
202501,MGO,TAT,AL5,661.287
202501,MGO,TAT,AL6,709.524
202501,MGO,TAT,AT1,690
202501,MGO,TAT,AT2,690
202501,MGO,TAT,AT3,690
202501,MGO,TAT,AT4,690
202501,MGO,TPT,EC1,685.988
202501,MGO,TPT,EC2,685.988
202501,MGO,TPT,EC3,617.455
202501,MGO,TPT,EC4,779.67
202501,MGO,TPT,EC5,684.132
202501,MGO,TPT,EC6,685.988
202501,MGO,TPT,FP1,654.63
202501,MGO,TPT,MS2,583.05
202501,MGO,TPT,PN1,687.048
202501,MGO,TPT,PN2,673.25
202501,MGO,TPT,PN3,685.988
202501,MGO,TPT,PN4,685.988
202501,MGO,TPT,PS3,673.25
202501,MGO,TPT,PS4,719.833
202501,MGO,TPT,PS5,679.535
202501,MGO,TPT,PS6,687.048
202501,MGO,TPT,PS7,673.25
202501,MGO,WAT,AG1,310.591
202501,MGO,WAT,AG2,673.25
202501,MGO,WAT,AG3,673.25
202502,LSFO,MET,MD1,581.18
202502,LSFO,MET,MD2,588.187
202502,LSFO,MET,MD3,596.344
202502,LSFO,MET,MD4,567.85
202502,LSFO,MET,MD5,567.85
202502,LSFO,MET,MS2,567.85
202502,LSFO,NET,FE2,554.665
202502,LSFO,NET,FE3,554.665
202502,LSFO,NET,FE4,559.116
202502,LSFO,NET,FP1,558.72
202502,LSFO,TAT,AL2,542.5
202502,LSFO,TAT,AL3,542.5
202502,LSFO,TAT,AL4,542.5
202502,LSFO,TAT,AL5,575.336
202502,LSFO,TAT,AL6,593.872
202502,LSFO,TAT,AT1,542
202502,LSFO,TAT,AT2,542
202502,LSFO,TAT,AT3,542
202502,LSFO,TAT,AT4,542
202502,LSFO,TPT,EC1,594.793
202502,LSFO,TPT,EC2,607.361
202502,LSFO,TPT,EC3,540.956
202502,LSFO,TPT,EC4,600.841
202502,LSFO,TPT,EC5,585.311
202502,LSFO,TPT,EC6,589.713
202502,LSFO,TPT,FP1,558.72
202502,LSFO,TPT,MS2,567.85
202502,LSFO,TPT,PN1,614.672
202502,LSFO,TPT,PN2,609.087
202502,LSFO,TPT,PN3,613.085
202502,LSFO,TPT,PN4,617.99
202502,LSFO,TPT,PS3,603.721
202502,LSFO,TPT,PS4,608.385
202502,LSFO,TPT,PS5,980.65
202502,LSFO,TPT,PS6,602.426
202502,LSFO,TPT,PS7,603.721
202502,LSFO,WAT,AG1,350.182
202502,LSFO,WAT,AG2,583.05
202502,LSFO,WAT,AG3,583.05
202502,MGO,MET,MD1,720.863
202502,MGO,MET,MD2,720.863
202502,MGO,MET,MD3,720.863
202502,MGO,MET,MD4,567.85
202502,MGO,MET,MD5,567.85
202502,MGO,MET,MS2,567.85
202502,MGO,NET,FE2,699.259
202502,MGO,NET,FE3,699.259
202502,MGO,NET,FE4,708.776
202502,MGO,NET,FP1,699.259
202502,MGO,TAT,AL2,690
202502,MGO,TAT,AL3,690
202502,MGO,TAT,AL4,690
202502,MGO,TAT,AL5,710.271
202502,MGO,TAT,AL6,773.81
202502,MGO,TAT,AT1,690
202502,MGO,TAT,AT2,690
202502,MGO,TAT,AT3,690
202502,MGO,TAT,AT4,690
202502,MGO,TPT,EC1,752.588
202502,MGO,TPT,EC2,752.588
202502,MGO,TPT,EC3,617.455
202502,MGO,TPT,EC4,779.67
202502,MGO,TPT,EC5,736.747
202502,MGO,TPT,EC6,752.588
202502,MGO,TPT,FP1,699.259
202502,MGO,TPT,FP2,1064.096
202502,LSFO,NET,FP2,738.391
202502,LSFO,TPT,FP2,738.391
202502,MGO,NET,FP2,1064.096
202502,MGO,TPT,MS2,567.85
202502,MGO,TPT,PN1,728.9
202502,MGO,TPT,PN2,720.863
202502,MGO,TPT,PN3,752.588
202502,MGO,TPT,PN4,752.588
202502,MGO,TPT,PS3,720.863
202502,MGO,TPT,PS4,791.357
202502,MGO,TPT,PS5,679.535
202502,MGO,TPT,PS6,728.9
202502,MGO,TPT,PS7,720.863
202502,MGO,WAT,AG1,310.591
