TRDE_CD,VSL_SVCE_LANE_CD,ST_VSL_CD,ST_VOY_NR,ST_DIR_CD,BSE_YM,EUA,RATE
MET,MD1,HRIT,0007,E,202502,76.085,1.0354
MET,MD1,WINT,0045,W,202505,64.357,1.1214
MET,MD3,YWWT,0035,E,202511,78.582,1.1648
MET,MD3,LRZT,0507,W,202501,67.021,1.0479
MET,MD3,LRZT,0507,W,202502,76.085,1.0354
MET,MD3,LRZT,0507,W,202503,75.12,1.0415
MET,MD3,LRZT,0507,W,202505,64.357,1.1214
MET,MD3,LRZT,0507,W,202508,70.269,1.1677
MET,MD1,HRIT,0007,E,202503,75.12,1.0415
LUT,LUX,BKBT,0168,S,202507,72.018,1.153
LUT,LUX,BKBT,0168,S,202512,79.2,1.1649
LUT,LUX,XNNT,0456,N,202509,71.218,1.1631
TAT,AT2,ARUT,0226,W,202510,75.747,1.1732
TAT,AT2,ARUT,0226,W,202511,78.582,1.1648
TAT,AT3,MMOT,0300,W,202504,68.543,1.0807
TPT,PS6,ARTT,0022,E,202504,68.543,1.0807
TPT,EC2,ALQT,0030,E,202511,78.582,1.1648
TPT,EC2,SBFT,0074,E,202506,70.154,1.1278
NET,FE2,OQRT,0022,E,202509,71.218,1.1631
NET,FE2,OQRT,0022,E,202502,76.085,1.0354
NET,FE2,OQRT,0022,E,202505,64.357,1.1214
TPT,FP2,ONYT,0010,E,202510,75.747,1.1732
TPT,FP2,YUNT,0074,E,202502,76.085,1.0354
TPT,FP2,ONYT,0010,E,202504,68.543,1.0807
TPT,FP2,ONYT,0010,E,202506,70.154,1.1278
TPT,PS7,ONGT,0020,E,202509,71.218,1.1631
TPT,PS7,ONGT,0020,E,202507,72.018,1.153
NET,FE3,OLIT,0015,W,202502,76.085,1.0354
TPT,MS2,WIST,0046,E,202502,76.085,1.0354
TPT,PS8,HERT,0030,E,202502,76.085,1.0354
TPT,EC3,EAOT,0034,E,202509,71.218,1.1631
TPT,EC4,EVST,0116,E,202502,76.085,1.0354
TPT,EC4,EVST,0116,E,202503,75.12,1.0415
TPT,PN1,YCOT,0182,E,202510,75.747,1.1732
TPT,PS8,HERT,0030,E,202503,75.12,1.0415
WAT,AG1,HMDT,0016,W,202502,76.085,1.0354
WAT,AG1,HMDT,0016,W,202512,79.2,1.1649
TPT,EC4,EVST,0116,E,202510,75.747,1.1732
TPT,EC4,OONT,0034,E,202505,64.357,1.1214
NET,FE4,ODUT,0012,E,202501,67.021,1.0479
NET,FE4,ODUT,0012,E,202502,76.085,1.0354
NET,FE4,ODUT,0012,E,202505,64.357,1.1214
TPT,PN1,OMFT,0073,E,202511,78.582,1.1648
TPT,PN2,NMOT,0008,E,202501,67.021,1.0479
TPT,PN2,NMOT,0008,E,202507,72.018,1.153
WAT,AG2,YTUT,0087,E,202503,75.12,1.0415
WAT,AG2,YTUT,0087,E,202506,70.154,1.1278
WAT,AG2,YTUT,0087,E,202510,75.747,1.1732
WAT,AG3,SOXT,0035,E,202512,79.2,1.1649
TPT,EC5,ONYT,0016,E,202502,76.085,1.0354
