"base_year_month","vessel_capacity","port_stay_bunker_consumption","idling_bunker_consumption","pilot_inout_bunker_consumption"
"202501",2500,0.320,0.000,1.200
"202501",2510,0.320,0.000,1.200
"202501",2520,0.320,0.000,1.200
"202501",2530,0.320,0.000,1.200
"202501",2540,0.320,0.000,1.200
"202501",2550,0.320,0.000,1.200
"202501",2560,0.320,0.000,1.200
"202501",2570,0.320,0.000,1.200
"202501",2580,0.320,0.000,1.200
"202501",2590,0.320,0.000,1.200
"202501",2600,0.320,0.000,1.200
"202501",2610,0.320,0.000,1.200
"202501",2620,0.320,0.000,1.200
"202501",2630,0.320,0.000,1.200
"202501",2640,0.320,0.000,1.200
"202501",2650,0.320,0.000,1.200
"202501",2660,0.320,0.000,1.200
"202501",2670,0.320,0.000,1.200
"202501",2680,0.320,0.000,1.200
"202501",2690,0.320,0.000,1.200
"202501",2700,0.320,0.000,1.200
"202501",2710,0.320,0.000,1.200
"202501",2720,0.320,0.000,1.200
"202501",2730,0.320,0.000,1.200
"202501",2740,0.320,0.000,1.200
"202501",2750,0.320,0.000,1.200
"202501",2760,0.320,0.000,1.200
"202501",2770,0.320,0.000,1.200
"202501",2780,0.320,0.000,1.200
"202501",2790,0.320,0.000,1.200
"202501",2800,0.320,0.000,1.200
"202501",2810,0.320,0.000,1.200
"202501",2820,0.320,0.000,1.200
"202501",2830,0.320,0.000,1.200
"202501",2840,0.320,0.000,1.200
"202501",2850,0.320,0.000,1.200
"202501",2860,0.320,0.000,1.200
"202501",2870,0.320,0.000,1.200
"202501",2880,0.320,0.000,1.200
"202501",2890,0.320,0.000,1.200
"202501",2900,0.320,0.000,1.200
"202501",2910,0.320,0.000,1.200
"202501",2920,0.320,0.000,1.200
"202501",2930,0.320,0.000,1.200
"202501",2940,0.320,0.000,1.200
"202501",2950,0.320,0.000,1.200
"202501",2960,0.320,0.000,1.200
"202501",2970,0.320,0.000,1.200
"202501",2980,0.320,0.000,1.200
"202501",2990,0.320,0.000,1.200
"202501",3000,0.320,0.000,1.200
"202501",3010,0.320,0.000,1.200
"202501",3020,0.320,0.000,1.200
"202501",3030,0.320,0.000,1.200
"202501",3040,0.320,0.000,1.200
"202501",3050,0.320,0.000,1.200
"202501",3060,0.320,0.000,1.200
"202501",3070,0.320,0.000,1.200
"202501",3080,0.320,0.000,1.200
"202501",3090,0.320,0.000,1.200
"202501",3100,0.320,0.000,1.200
"202501",3110,0.320,0.000,1.200
"202501",3120,0.320,0.000,1.200
"202501",3130,0.320,0.000,1.200
"202501",3140,0.320,0.000,1.200
"202501",3150,0.320,0.000,1.200
"202501",3160,0.320,0.000,1.200
"202501",3170,0.320,0.000,1.200
"202501",3180,0.320,0.000,1.200
"202501",3190,0.320,0.000,1.200
"202501",3200,0.320,0.000,1.200
"202501",3210,0.320,0.000,1.200
"202501",3220,0.320,0.000,1.200
"202501",3230,0.320,0.000,1.200
"202501",3240,0.320,0.000,1.200
"202501",3250,0.320,0.000,1.200
"202501",3260,0.320,0.000,1.200
"202501",3270,0.320,0.000,1.200
"202501",3280,0.320,0.000,1.200
"202501",3290,0.320,0.000,1.200
"202501",3300,0.320,0.000,1.200
"202501",3310,0.320,0.000,1.200
"202501",3320,0.320,0.000,1.200
"202501",3330,0.320,0.000,1.200
"202501",3340,0.320,0.000,1.200
"202501",3350,0.320,0.000,1.200
"202501",3360,0.320,0.000,1.200
"202501",3370,0.320,0.000,1.200
"202501",3380,0.320,0.000,1.200
"202501",3390,0.320,0.000,1.200
"202501",3400,0.320,0.000,1.200
"202501",3410,0.320,0.000,1.200
"202501",3420,0.320,0.000,1.200
"202501",3430,0.320,0.000,1.200
"202501",3440,0.320,0.000,1.200
"202501",3450,0.320,0.000,1.200
"202501",3460,0.320,0.000,1.200
"202501",3470,0.320,0.000,1.200
"202501",3480,0.320,0.000,1.200
"202501",3490,0.320,0.000,1.200
"202501",3500,0.320,0.000,1.200
"202501",3510,0.320,0.000,1.200
"202501",3520,0.320,0.000,1.200
"202501",3530,0.320,0.000,1.200
"202501",3540,0.320,0.000,1.200
"202501",3550,0.320,0.000,1.200
"202501",3560,0.320,0.000,1.200
"202501",3570,0.320,0.000,1.200
"202501",3580,0.320,0.000,1.200
"202501",3590,0.320,0.000,1.200
"202501",3600,0.320,0.000,1.200
"202501",3610,0.320,0.000,1.200
"202501",3620,0.320,0.000,1.200
"202501",3630,0.320,0.000,1.200
"202501",3640,0.320,0.000,1.200
"202501",3650,0.320,0.000,1.200
"202501",3660,0.320,0.000,1.200
"202501",3670,0.320,0.000,1.200
"202501",3680,0.320,0.000,1.200
"202501",3690,0.320,0.000,1.200
"202501",3700,0.320,0.000,1.200
"202501",3710,0.320,0.000,1.200
"202501",3720,0.320,0.000,1.200
"202501",3730,0.320,0.000,1.200
"202501",3740,0.320,0.000,1.200
"202501",3750,0.440,0.000,1.800
"202501",3760,0.440,0.000,1.800
"202501",3770,0.440,0.000,1.800
"202501",3780,0.440,0.000,1.800
"202501",3790,0.440,0.000,1.800
"202501",3800,0.440,0.000,1.800
"202501",3810,0.440,0.000,1.800
"202501",3820,0.440,0.000,1.800
"202501",3830,0.440,0.000,1.800
"202501",3840,0.440,0.000,1.800
"202501",3850,0.440,0.000,1.800
"202501",3860,0.440,0.000,1.800
"202501",3870,0.440,0.000,1.800
"202501",3880,0.440,0.000,1.800
"202501",3890,0.440,0.000,1.800
"202501",3900,0.440,0.000,1.800
"202501",3910,0.440,0.000,1.800
"202501",3920,0.440,0.000,1.800
"202501",3930,0.440,0.000,1.800
"202501",3940,0.440,0.000,1.800
"202501",3950,0.440,0.000,1.800
"202501",3960,0.440,0.000,1.800
"202501",3970,0.440,0.000,1.800
"202501",3980,0.440,0.000,1.800
"202501",3990,0.440,0.000,1.800
"202501",4000,0.440,0.000,1.800
"202501",4010,0.440,0.000,1.800
"202501",4020,0.440,0.000,1.800
"202501",4030,0.440,0.000,1.800
"202501",4040,0.440,0.000,1.800
"202501",4050,0.440,0.000,1.800
"202501",4060,0.440,0.000,1.800
"202501",4070,0.440,0.000,1.800
"202501",4080,0.440,0.000,1.800
"202501",4090,0.440,0.000,1.800
"202501",4100,0.440,0.000,1.800
"202501",4110,0.440,0.000,1.800
"202501",4120,0.440,0.000,1.800
"202501",4130,0.440,0.000,1.800
"202501",4140,0.440,0.000,1.800
"202501",4150,0.440,0.000,1.800
"202501",4160,0.440,0.000,1.800
"202501",4170,0.440,0.000,1.800
"202501",4180,0.440,0.000,1.800
"202501",4190,0.440,0.000,1.800
"202501",4200,0.440,0.000,1.800
"202501",4210,0.440,0.000,1.800
"202501",4220,0.440,0.000,1.800
"202501",4230,0.440,0.000,1.800
"202501",4240,0.440,0.000,1.800
"202501",4250,0.440,0.000,1.800
"202501",4260,0.440,0.000,1.800
"202501",4270,0.440,0.000,1.800
"202501",4280,0.440,0.000,1.800
"202501",4290,0.440,0.000,1.800
"202501",4300,0.440,0.000,1.800
"202501",4310,0.440,0.000,1.800
"202501",4320,0.440,0.000,1.800
"202501",4330,0.440,0.000,1.800
"202501",4340,0.440,0.000,1.800
"202501",4350,0.440,0.000,1.800
"202501",4360,0.440,0.000,1.800
"202501",4370,0.440,0.000,1.800
"202501",4380,0.440,0.000,1.800
"202501",4390,0.440,0.000,1.800
"202501",4400,0.440,0.000,1.800
"202501",4410,0.440,0.000,1.800
"202501",4420,0.440,0.000,1.800
"202501",4430,0.440,0.000,1.800
"202501",4440,0.440,0.000,1.800
"202501",4450,0.440,0.000,1.800
