vessel_code,direction,port_code,canal_fee
V001,E,EGSCA,1007191.90313
V002,W,EGSCA,1069412.18493
V003,E,EGSCA,729035.71057
V004,W,EGSCA,773384.41676
V005,W,EGSCA,773384.41676
V006,E,EGSCA,729035.71057
V007,E,EGSCA,711019.25935
V008,W,EGSCA,754233.07097
V009,W,EGSCA,1069412.18493
V010,E,EGSCA,1007191.90313
V011,W,EGSCA,1129918.925
V012,E,EGSCA,1088936.446
V013,W,EGSCA,1069412.18493
V014,E,EGSCA,1007191.90313
V015,E,EGSCA,895432.59335
V016,W,EGSCA,950500.27932
V017,E,EGSCA,880162.65775
V018,W,EGSCA,934256.06785
V019,W,EGSCA,1129918.925
V020,E,EGSCA,1088936.446
V021,W,EGSCA,784436.4665
V022,E,EGSCA,753898.9375
V023,E,EGSCA,753898.9375
V024,W,EGSCA,784436.4665
V025,E,EGSCA,753898.9375
V026,W,EGSCA,784436.4665
V027,W,EGSCA,917660.39834
V028,E,EGSCA,864568.04355
V029,E,EGSCA,1007191.90313
V030,W,EGSCA,1069412.18493
V031,W,EGSCA,919008.09496
V032,E,EGSCA,865834.67572
V033,W,EGSCA,1129918.925
V034,E,EGSCA,1088936.446
V035,W,EGSCA,943462.14757
V036,E,EGSCA,888817.80786
CMJT,W,EGSCA,467621.85607
CNTT,E,PAPCA,796755.5
CRNT,E,PAPCA,772553
EGGT,E,EGSCA,1007191.90313
HERT,E,PAPCA,907950.5
HMIT,E,EGSCA,467719.50639
HUET,W,PAPCA,613373
HYZT,E,PAPCA,1146248
LIAT,E,PAPCA,893985.5
MCWT,W,EGSCA,485655.66512
MEET,W,PAPCA,594893
MITT,E,PAPCA,661988
NCFT,E,PAPCA,1223055.5
NDIT,W,PAPCA,439217
NNBT,W,PAPCA,439217
NRET,E,PAPCA,439217
NRUT,E,PAPCA,487097
OCBT,E,PAPCA,1223055.5
ODDT,W,PAPCA,935618
OHHT,W,EGSCA,517245.10903
OHOT,W,EGSCA,504342.01476
OIST,W,EGSCA,442909.0162
OMFT,E,EGSCA,423781.8456
ONGT,E,EGSCA,740606.2617
ONLT,W,PAPCA,940868
ONNT,W,PAPCA,525278
ONPT,W,EGSCA,700479.64324
OSTT,W,PAPCA,940868
OWLT,E,EGSCA,689653.0947
RBTT,E,PAPCA,347200
RBTT,W,PAPCA,347200
TIVT,W,EGSCA,430386.13666
TSTT,E,PAPCA,784260.5
TSTT,W,PAPCA,601665.5
CCQT,W,PAPCA,615394.25
CETT,W,EGSCA,467621.85607
CMJT,W,PAPCA,594893
CNCT,E,PAPCA,776858
CNCT,W,PAPCA,595496.75
CNOT,W,PAPCA,601665.5
CNTT,E,EGSCA,485643.57213
CRET,E,EGSCA,684955.4544
CRET,W,EGSCA,718392.7223
HERT,W,PAPCA,700260.5
HUET,W,EGSCA,514864.72183
NCFT,E,EGSCA,690923.5608
NCFT,W,EGSCA,729306.00853
NDIT,E,PAPCA,439217
NNBT,E,PAPCA,439217
NONT,W,EGSCA,517220.60732
NRET,W,PAPCA,439217
NVST,W,EGSCA,512120.5313
NVTT,W,EGSCA,513878.8429
OCBT,W,PAPCA,940868
OCNT,W,EGSCA,467621.85607
ODDT,W,EGSCA,713556.36659
OETT,W,EGSCA,934256.06785
OFOT,W,EGSCA,784436.4665
OHIT,E,EGSCA,473838.31132
OHRT,W,EGSCA,506949.9553
OHST,W,PAPCA,634478
OHWT,E,EGSCA,692002.5393
OIIT,W,EGSCA,719794.3118
OIIT,W,PAPCA,886635.5
OILT,E,PAPCA,642668
OILT,W,PAPCA,512573
OIST,E,EGSCA,423781.8456
OMGT,E,PAPCA,661988
OMLT,E,EGSCA,701883.21016
OMLT,W,EGSCA,745908.1344
OMST,E,EGSCA,439552.2836
ONMT,W,PAPCA,525278
ONYT,E,EGSCA,739163.7149
ONYT,E,PAPCA,1223055.5
ONZT,W,EGSCA,504321.50621
OONT,W,EGSCA,735021.7952
OSWT,W,PAPCA,940868
OTNT,E,EGSCA,699163.31034
OWLT,W,EGSCA,730447.1771
SEYT,E,PAPCA,899235.5
TIVT,W,PAPCA,525278
CCQT,E,PAPCA,796755.5
CMJT,E,EGSCA,439552.2836
CNCT,E,EGSCA,468949.93314
CNOT,E,EGSCA,437537.05265
CNOT,W,EGSCA,472327.14304
CRET,W,PAPCA,937718
DNCT,E,PAPCA,487097
EAOT,W,EGSCA,717346.9736
FROT,E,EGSCA,711019.25935
HKGT,E,EGSCA,464874.29989
ITYT,E,EGSCA,1007191.90313
ITYT,W,EGSCA,1069412.18493
MITT,W,EGSCA,467621.85607
NOCT,W,EGSCA,509268.5381
OAQT,E,EGSCA,679151.6103
OFUT,W,EGSCA,784436.4665
OFVT,W,EGSCA,784436.4665
OHNT,E,EGSCA,494399.636
OHST,E,EGSCA,473838.31132
OHST,W,EGSCA,504174.72859
OHWT,E,PAPCA,1223055.5
OHWT,W,PAPCA,940868
OIGT,W,EGSCA,917660.39834
OIST,E,PAPCA,661988
OIST,W,PAPCA,525278
OMDT,E,PAPCA,661988
OMFT,W,PAPCA,525278
OMIT,E,EGSCA,699163.31034
OMJT,E,EGSCA,422718.09975
OMST,E,PAPCA,772133
ONMT,E,PAPCA,661988
OOHT,E,EGSCA,466994.57822
OSWT,W,EGSCA,730447.1771
OTIT,E,PAPCA,849413
OTNT,W,EGSCA,743011.33052
OURT,E,EGSCA,481962.7223
OWLT,E,PAPCA,1223055.5
OWRT,W,EGSCA,705836.05221
OXMT,E,EGSCA,424178.6771
OXMT,W,EGSCA,442677.8186
ZEUT,E,EGSCA,729035.7106
ZOST,E,EGSCA,729035.71057
ZOST,W,EGSCA,773384.41676
ZPLT,E,EGSCA,729035.71057
ARUT,E,EGSCA,390407.22995
ARUT,W,EGSCA,415644.69078
CETT,E,PAPCA,772553
CNCT,W,EGSCA,498963.15186
CNOT,E,PAPCA,784260.5
CNTT,W,PAPCA,615394.25
DNCT,W,PAPCA,439217
EAOT,E,EGSCA,692002.5393
FANT,W,EGSCA,773384.41676
HLLT,W,PAPCA,634478
HMIT,W,EGSCA,497651.37458
HSMT,E,EGSCA,488599.1545
IUMT,E,EGSCA,895432.59335
MCWT,E,PAPCA,772553
MITT,W,PAPCA,525278
MXQT,W,PAPCA,433074.5
NCNT,W,PAPCA,439217
NDMT,W,PAPCA,439217
NMTT,W,PAPCA,439217
NOCT,E,EGSCA,488220.4581
NROT,E,PAPCA,439217
NRUT,W,PAPCA,439217
NVTT,E,EGSCA,492634.4363
OAQT,E,PAPCA,1223055.5
OAQT,W,EGSCA,713683.095
OEAT,E,PAPCA,661988
OEIT,E,EGSCA,666659.83418
OEIT,W,EGSCA,708393.80714
OFFT,E,EGSCA,1088936.446
OFOT,E,EGSCA,753898.9375
OFUT,E,EGSCA,753898.9375
OHHT,E,EGSCA,486098.12552
OHST,E,PAPCA,836813
OIIT,E,EGSCA,684956.4026
OIIT,E,PAPCA,1146248
OMJT,W,EGSCA,450127.7199
OMJT,W,PAPCA,525278
OMNT,W,EGSCA,727710.2961
ONLT,E,PAPCA,1223055.5
ONLT,W,EGSCA,717346.9736
ONNT,E,EGSCA,439552.2836
ONYT,W,EGSCA,770423.1893
ONZT,E,EGSCA,473975.98645
OOLT,E,EGSCA,486098.12552
ORWT,W,EGSCA,1129918.925
OTHT,W,EGSCA,433648.0976
OWRT,W,PAPCA,935093
UERT,E,EGSCA,790704.38082
ZELT,W,EGSCA,743071.63593
CIKT,W,PAPCA,593528
EAOT,W,PAPCA,937718
HKGT,W,EGSCA,494618.05526
HLLT,W,EGSCA,504174.72859
IGTT,E,EGSCA,1007191.90313
IGTT,W,EGSCA,1069412.18493
ISPT,E,EGSCA,1088936.446
LIAT,W,PAPCA,693068
MCWT,W,PAPCA,594893
MXNT,W,EGSCA,745908.1344
NMTT,E,PAPCA,487097
NONT,E,EGSCA,486075.1433
NVET,W,EGSCA,500330.72995
OAQT,W,PAPCA,940868
ODDT,E,EGSCA,671507.12282
OEAT,W,PAPCA,525278
OHOT,E,EGSCA,473995.22315
OHRT,E,EGSCA,481966.344
OMFT,W,EGSCA,442909.0162
OMIT,W,EGSCA,743011.33052
OMNT,E,EGSCA,698241.9957
OMVT,E,PAPCA,661988
OMVT,W,PAPCA,525278
ONZT,W,PAPCA,634478
OQRT,W,EGSCA,919008.09496
OSTT,E,EGSCA,681540.44321
OTHT,E,EGSCA,407276.56389
OURT,W,EGSCA,506946.1398
OURT,W,PAPCA,613373
SBFT,E,PAPCA,899235.5
SBFT,W,PAPCA,698318
STFT,W,PAPCA,940868
TIRT,W,EGSCA,950500.27932
UERT,W,EGSCA,838937.72764
ZPLT,W,EGSCA,773384.41676
CMJT,E,PAPCA,772553
MOBT,E,EGSCA,675950.73068
MOBT,W,EGSCA,718288.98958
NCMT,E,EGSCA,677423.51491
NRIT,E,PAPCA,487097
NVST,E,EGSCA,493598.1902
OCBT,W,EGSCA,735203.29746
OHIT,W,EGSCA,504174.72859
OHNT,W,EGSCA,519030.3564
OMFT,E,PAPCA,661988
OMGT,W,PAPCA,525278
OMST,W,EGSCA,467621.85607
OMVT,W,EGSCA,467621.85607
ONGT,W,PAPCA,940868
ONMT,W,EGSCA,467621.85607
ONPT,E,PAPCA,1206518
OOLT,W,EGSCA,517245.10903
ORWT,E,EGSCA,1088936.446
OSTT,W,EGSCA,713683.095
OTLT,W,EGSCA,943462.14757
STFT,E,PAPCA,1223055.5
TIVT,E,EGSCA,404220.08081
TIVT,E,PAPCA,661988
ZEUT,W,EGSCA,773384.4168
CETT,E,EGSCA,439552.2836
CETT,W,PAPCA,594893
CRET,E,PAPCA,1213133
EGGT,W,EGSCA,1069412.18493
FRNT,W,EGSCA,773384.41676
HLLT,E,EGSCA,473838.31132
HYZT,W,PAPCA,886635.5
MEET,E,PAPCA,772553
MEET,W,EGSCA,467621.85607
MXNT,E,EGSCA,701883.21016
MXQT,E,PAPCA,433074.5
NCFT,W,PAPCA,940868
NCMT,W,EGSCA,719857.56466
NDDT,E,PAPCA,439217
NDDT,W,PAPCA,439217
NDMT,E,PAPCA,487097
NVET,E,EGSCA,493598.1902
NVOT,E,EGSCA,490468.09279
OCBT,E,EGSCA,694134.1816
ODDT,E,PAPCA,1217805.5
OHWT,W,EGSCA,717346.9736
OIGT,E,EGSCA,864568.04355
OMVT,E,EGSCA,439552.2836
ONGT,W,EGSCA,735203.29746
ONLT,E,EGSCA,692002.5393
ONPT,E,EGSCA,659228.978
ONVT,W,EGSCA,1069412.18493
OOHT,W,EGSCA,496878.51727
OONT,E,EGSCA,701883.21016
OQRT,E,EGSCA,865834.67572
OSTT,E,PAPCA,1223055.5
OTIT,W,PAPCA,685823
OWLT,W,PAPCA,940868
OXMT,E,PAPCA,661988
OXMT,W,PAPCA,525278
REDT,E,EGSCA,711019.25935
REDT,W,EGSCA,754233.07097
SADT,W,PAPCA,665033
SEYT,W,PAPCA,698318
TIRT,E,EGSCA,895432.59335
CIKT,E,PAPCA,771188
CNTT,W,EGSCA,516760.50252
CRNT,W,PAPCA,594893
EAOT,E,PAPCA,1213133
FANT,E,EGSCA,729035.71057
FRNT,E,EGSCA,729035.71057
FROT,W,EGSCA,754233.07097
HLLT,E,PAPCA,836813
HSMT,W,EGSCA,506928.0267
HUET,E,EGSCA,483865.35924
HUET,E,PAPCA,815708
ISPT,W,EGSCA,1129918.925
IUMT,W,EGSCA,950500.27932
MCWT,E,EGSCA,456467.7169
MEET,E,EGSCA,439552.2836
MITT,E,EGSCA,439552.2836
NCNT,E,PAPCA,487097
NRIT,W,PAPCA,439217
NROT,W,PAPCA,439217
NVOT,W,EGSCA,513877.7746
OCNT,E,EGSCA,439552.2836
OCNT,E,PAPCA,772553
OCNT,W,PAPCA,594893
OETT,E,EGSCA,880162.65775
OFFT,W,EGSCA,1129918.925
OFVT,E,EGSCA,753898.9375
OMDT,W,PAPCA,525278
OMJT,E,PAPCA,661988
OMST,W,PAPCA,594473
ONGT,E,PAPCA,1223055.5
ONMT,E,EGSCA,439552.2836
ONNT,E,PAPCA,661988
ONNT,W,EGSCA,467621.85607
ONPT,W,PAPCA,935618
ONVT,E,EGSCA,1007191.90313
ONYT,W,PAPCA,940868
OSWT,E,EGSCA,687366.43346
OSWT,E,PAPCA,1223055.5
OTLT,E,EGSCA,888817.80786
OURT,E,PAPCA,815708
OWRT,E,EGSCA,664258.27803
OWRT,E,PAPCA,1223055.5
SADT,E,PAPCA,828623
TLIT,E,EGSCA,1007191.90313
TLIT,W,EGSCA,1069412.18493
ZELT,E,EGSCA,700519.24269
