lane_code,proforma_name,vessel_position,vessel_position_date
FE1,3101,3,2026/02/15
FE1,3101,4,2026/02/22
FE1,3101,5,2026/03/01
FE1,3101,7,2026/03/15
FE1,3101,8,2026/03/22
FE2,3201,3,2026/02/18
FE2,3201,4,2026/02/25
FE2,3201,5,2026/03/04
FE2,3201,7,2026/03/18
FE2,3201,10,2026/04/08
WA1,4101,1,2026/02/15
WA1,4101,3,2026/03/01
WA1,4101,5,2026/03/15
WA1,4101,7,2026/03/29
WA1,4101,8,2026/04/05
PS1,5101,1,2026/02/20
PS1,5101,3,2026/03/06
PS1,5101,5,2026/03/20
PS1,5101,6,2026/03/27
PS1,5101,7,2026/04/03
EC1,6101,1,2026/03/01
EC1,6101,3,2026/03/15
EC1,6101,5,2026/03/29
EC1,6101,7,2026/04/12
EC1,6101,9,2026/04/26
EC1,6101,11,2026/05/10
EC1,6101,12,2026/05/17
EC1,6101,13,2026/05/24
