trade_code,lane_code,vessel_code,voyage_number,direction,vessel_capacity,reefer_capacity
AAA,AAA,V003,0000,E,20000,2000
AAA,AAA,V004,0000,E,20000,2000
AAA,AAA,V005,0000,E,20000,2000
AAA,AAA,V007,0000,E,18000,1800
AAA,AAA,V008,0000,E,18000,1800
AAA,AAA,V015,0000,E,20000,2000
AAA,AAA,V016,0000,E,20000,2000
AAA,AAA,V017,0000,E,18000,1800
AAA,AAA,V019,0000,E,18000,1800
AAA,AAA,V022,0000,E,18000,1800
AAA,AAA,V025,0000,E,20000,2000
AAA,AAA,V027,0000,E,18000,1800
AAA,AAA,V029,0000,E,18000,1800
AAA,AAA,V031,0000,E,18000,1800
AAA,AAA,V032,0000,E,18000,1800
AAA,AAA,V033,0000,E,20000,2000
AAA,AAA,V035,0000,E,20000,2000
AAA,AAA,V037,0000,E,20000,2000
AAA,AAA,V038,0000,E,20000,2000
AAA,AAA,V039,0000,E,18000,1800
AAA,AAA,V040,0000,E,20000,2000
AAA,AAA,V042,0000,E,20000,2000
AAA,AAA,V044,0000,E,18000,1800
AAA,AAA,V046,0000,E,18000,1800
AAA,AAA,V048,0000,E,18000,1800
AAA,AAA,V050,0000,E,18000,1800
AAA,AAA,V051,0000,E,18000,1800
AAA,AAA,V052,0000,E,18000,1800
AAA,AAA,V054,0000,E,15000,1500
AAA,AAA,V055,0000,E,15000,1500
AAA,AAA,V056,0000,E,15000,1500
AAA,AAA,V057,0000,E,15000,1500
AAA,AAA,V058,0000,E,15000,1500
AAA,AAA,V059,0000,E,20000,2000
AAA,AAA,V060,0000,E,20000,2000
AAA,AAA,V061,0000,E,20000,2000
EAT,BH2,GCLT,0134,E,2100,398
EAT,BH2,GCLT,0134,W,2100,398
EAT,BH2,GCLT,0135,E,2100,398
EAT,BH2,GCLT,0135,W,2100,398
EAT,BH2,GCLT,0136,E,2100,398
EAT,BH2,GCLT,0136,W,2100,398
EAT,BH2,GCLT,0137,E,2100,398
EAT,BH2,GCLT,0137,W,2100,398
EAT,BH2,GCLT,0138,E,2100,398
EAT,BH2,GCLT,0138,W,2100,398
EAT,BH2,GCLT,0139,E,2100,398
EAT,BH2,GCLT,0139,W,2100,398
EAT,BH2,GCLT,0140,E,2100,398
EAT,BH2,GCLT,0140,W,2100,398
EAT,BH2,GCLT,0141,E,2100,398
EAT,BH2,GCLT,0141,W,2100,398
EAT,BH2,GCLT,0142,E,2100,398
EAT,BH2,GCLT,0142,W,2100,398
EAT,BH2,GCLT,0143,E,2100,398
EAT,BH2,GCLT,0143,W,2100,398
EAT,BH2,GCLT,0144,E,2100,398
EAT,BH2,GCLT,0144,W,2100,398
EAT,BH2,GCLT,0145,E,2100,398
EAT,BH2,GCLT,0145,W,2100,398
EAT,BH2,GCLT,0146,E,2100,398
EAT,BH2,GCLT,0146,W,2100,398
EAT,BH2,GCLT,0147,E,2100,398
EAT,BH2,GCLT,0147,W,2100,398
EAT,BH2,GCLT,0148,E,2100,398
EAT,BH2,GCLT,0148,W,2100,398
EAT,BH2,GCLT,0149,E,2100,398
EAT,BH2,GCLT,0149,W,2100,398
EAT,BH2,GCLT,0150,E,2100,398
EAT,BH2,GCLT,0150,W,2100,398
EAT,BH2,GCLT,0151,E,2100,398
EAT,BH2,GCLT,0151,W,2100,398
EAT,BH2,GCLT,0152,E,2100,398
EAT,BH2,GCLT,0152,W,2100,398
EAT,BH2,GCLT,0153,E,2100,398
EAT,BH2,GCLT,0153,W,2100,398
EAT,BH2,GCLT,0154,E,2100,398
EAT,BH2,GCLT,0154,W,2100,398
EAT,BH2,GCLT,0155,E,2100,398
EAT,BH2,GCLT,0155,W,2100,398
EAT,BH2,GCLT,0156,E,2100,398
EAT,BH2,GCLT,0156,W,2100,398
EAT,BH2,GCLT,0157,E,2100,398
EAT,BH2,GCLT,0157,W,2100,398
EAT,BH2,GCLT,0158,E,2100,398
EAT,BH2,GCLT,0158,W,2100,398
EAT,BH2,GCLT,0159,E,2100,398
EAT,BH2,GCLT,0159,W,2100,398
EAT,BH2,GCLT,0160,E,2100,398
EAT,BH2,GCLT,0160,W,2100,398
EAT,BH2,GCLT,0161,E,2100,398
EAT,BH2,GCLT,0161,W,2100,398
EAT,BH2,GCLT,0162,E,2100,398
EAT,BH2,GCLT,0162,W,2100,398
EAT,BH2,GCLT,0163,E,2100,398
EAT,BH2,GCLT,0163,W,2100,398
EAT,BH2,GCLT,0164,E,2100,398
EAT,BH2,GCLT,0164,W,2100,398
EAT,BH2,GCLT,0165,E,2100,398
EAT,BH2,GCLT,0165,W,2100,398
EAT,BH2,GCLT,0166,E,2100,398
EAT,BH2,GCLT,0166,W,2100,398
EAT,BH2,GCLT,0167,E,2100,398
EAT,BH2,GCLT,0167,W,2100,398
EAT,CIM,NDLT,0153,N,1800,240
EAT,CIM,NDLT,0153,S,1800,240
EAT,CIM,NDLT,0154,N,1800,240
EAT,CIM,NDLT,0154,S,1800,240
EAT,CIM,NDLT,0155,N,1800,240
EAT,CIM,NDLT,0155,S,1800,240
EAT,CIM,NDLT,0156,N,1800,240
EAT,CIM,NDLT,0156,S,1800,240
EAT,CIM,NDLT,0157,N,1800,240
EAT,CIM,NDLT,0157,S,1800,240
EAT,CIM,NDLT,0158,N,1800,240
EAT,CIM,NDLT,0158,S,1800,240
EAT,CIM,NDLT,0159,N,1800,240
EAT,CIM,NDLT,0159,S,1800,240
EAT,CIM,NDLT,0160,N,1800,240
EAT,CIM,NDLT,0160,S,1800,240
EAT,CIM,NDLT,0161,N,1800,240
EAT,CIM,NDLT,0161,S,1800,240
EAT,CIM,NDLT,0162,N,1800,240
EAT,CIM,NDLT,0162,S,1800,240
EAT,CIM,NDLT,0163,S,1800,240
EAT,CIM,SGNT,0040,N,1800,240
EAT,CIM,SGNT,0040,S,1800,240
