base_year_month,nominal_capacity,port_stay_bunker_consumption,idling_bunker_consumption,pilot_inout_bunker_consumption
202501,2500,0.32,0,1.2
202501,2510,0.32,0,1.2
202501,2520,0.32,0,1.2
202501,2530,0.32,0,1.2
202501,2540,0.32,0,1.2
202501,2550,0.32,0,1.2
202501,2560,0.32,0,1.2
202501,2570,0.32,0,1.2
202501,2580,0.32,0,1.2
202501,2590,0.32,0,1.2
202501,2600,0.32,0,1.2
202501,2610,0.32,0,1.2
202501,2620,0.32,0,1.2
202501,2630,0.32,0,1.2
202501,2640,0.32,0,1.2
202501,2650,0.32,0,1.2
202501,2660,0.32,0,1.2
202501,2670,0.32,0,1.2
202501,2680,0.32,0,1.2
202501,2690,0.32,0,1.2
202501,2700,0.32,0,1.2
202501,2710,0.32,0,1.2
202501,2720,0.32,0,1.2
202501,2730,0.32,0,1.2
202501,2740,0.32,0,1.2
202501,2750,0.32,0,1.2
202501,2760,0.32,0,1.2
202501,2770,0.32,0,1.2
202501,2780,0.32,0,1.2
202501,2790,0.32,0,1.2
202501,2800,0.32,0,1.2
202501,2810,0.32,0,1.2
202501,2820,0.32,0,1.2
202501,2830,0.32,0,1.2
202501,2840,0.32,0,1.2
202501,2850,0.32,0,1.2
202501,2860,0.32,0,1.2
202501,2870,0.32,0,1.2
202501,2880,0.32,0,1.2
202501,2890,0.32,0,1.2
202501,2900,0.32,0,1.2
202501,2910,0.32,0,1.2
202501,2920,0.32,0,1.2
202501,2930,0.32,0,1.2
202501,2940,0.32,0,1.2
202501,2950,0.32,0,1.2
202501,2960,0.32,0,1.2
202501,2970,0.32,0,1.2
202501,2980,0.32,0,1.2
202501,2990,0.32,0,1.2
202501,3000,0.32,0,1.2
202501,3010,0.32,0,1.2
202501,3020,0.32,0,1.2
202501,3030,0.32,0,1.2
202501,3040,0.32,0,1.2
202501,3050,0.32,0,1.2
202501,3060,0.32,0,1.2
202501,3070,0.32,0,1.2
202501,3080,0.32,0,1.2
202501,3090,0.32,0,1.2
202501,3100,0.32,0,1.2
202501,3110,0.32,0,1.2
202501,3120,0.32,0,1.2
202501,3130,0.32,0,1.2
202501,3140,0.32,0,1.2
202501,3150,0.32,0,1.2
202501,3160,0.32,0,1.2
202501,3170,0.32,0,1.2
202501,3180,0.32,0,1.2
202501,3190,0.32,0,1.2
202501,3200,0.32,0,1.2
202501,3210,0.32,0,1.2
202501,3220,0.32,0,1.2
202501,3230,0.32,0,1.2
202501,3240,0.32,0,1.2
202501,3250,0.32,0,1.2
202501,3260,0.32,0,1.2
202501,3270,0.32,0,1.2
202501,3280,0.32,0,1.2
202501,3290,0.32,0,1.2
202501,3300,0.32,0,1.2
202501,3310,0.32,0,1.2
202501,3320,0.32,0,1.2
202501,3330,0.32,0,1.2
202501,3340,0.32,0,1.2
202501,3350,0.32,0,1.2
202501,3360,0.32,0,1.2
202501,3370,0.32,0,1.2
202501,3380,0.32,0,1.2
202501,3390,0.32,0,1.2
202501,3400,0.32,0,1.2
202501,3410,0.32,0,1.2
202501,3420,0.32,0,1.2
202501,3430,0.32,0,1.2
202501,3440,0.32,0,1.2
202501,3450,0.32,0,1.2
202501,3460,0.32,0,1.2
202501,3470,0.32,0,1.2
202501,3480,0.32,0,1.2
202501,3490,0.32,0,1.2
202501,3500,0.32,0,1.2
202501,3510,0.32,0,1.2
202501,3520,0.32,0,1.2
202501,3530,0.32,0,1.2
202501,3540,0.32,0,1.2
202501,3550,0.32,0,1.2
202501,3560,0.32,0,1.2
202501,3570,0.32,0,1.2
202501,3580,0.32,0,1.2
202501,3590,0.32,0,1.2
202501,3600,0.32,0,1.2
202501,3610,0.32,0,1.2
202501,3620,0.32,0,1.2
202501,3630,0.32,0,1.2
202501,3640,0.32,0,1.2
202501,3650,0.32,0,1.2
202501,3660,0.32,0,1.2
202501,3670,0.32,0,1.2
202501,3680,0.32,0,1.2
202501,3690,0.32,0,1.2
202501,3700,0.32,0,1.2
202501,3710,0.32,0,1.2
202501,3720,0.32,0,1.2
202501,3730,0.32,0,1.2
202501,3740,0.32,0,1.2
202501,3750,0.44,0,1.8
202501,3760,0.44,0,1.8
202501,3770,0.44,0,1.8
202501,3780,0.44,0,1.8
202501,3790,0.44,0,1.8
202501,3800,0.44,0,1.8
202501,3810,0.44,0,1.8
202501,3820,0.44,0,1.8
202501,3830,0.44,0,1.8
202501,3840,0.44,0,1.8
202501,3850,0.44,0,1.8
202501,3860,0.44,0,1.8
202501,3870,0.44,0,1.8
202501,3880,0.44,0,1.8
202501,3890,0.44,0,1.8
202501,3900,0.44,0,1.8
202501,3910,0.44,0,1.8
202501,3920,0.44,0,1.8
202501,3930,0.44,0,1.8
202501,3940,0.44,0,1.8
202501,3950,0.44,0,1.8
202501,3960,0.44,0,1.8
202501,3970,0.44,0,1.8
202501,3980,0.44,0,1.8
202501,3990,0.44,0,1.8
202501,4000,0.44,0,1.8
202501,4010,0.44,0,1.8
202501,4020,0.44,0,1.8
202501,4030,0.44,0,1.8
