base_year_month,currency_code,exchange_rate
202502,THB,34.2483
202502,TWD,32.883
202502,USD,1
202503,AED,3.673
202503,CAD,1.4392
202503,CNY,7.306
202503,EUR,0.9658
202503,GBP,0.8096
202503,HKD,7.7844
202503,ILS,3.6146
202503,JPY,156.4978
202503,KRW,1451.9777
202503,LKR,295.9917
202503,MXN,20.5647
202503,MYR,4.4662
202503,SAR,3.7526
202503,SDR,0.7684
202503,SGD,1.361
202503,THB,34.2483
202503,TWD,32.883
202503,USD,1
202504,AED,3.673
202504,CAD,1.4392
202504,CNY,7.306
202504,EUR,0.9658
202504,GBP,0.8096
202504,HKD,7.7844
202504,ILS,3.6146
202504,JPY,156.4978
202504,KRW,1451.9777
202504,LKR,295.9917
202504,MXN,20.5647
202504,MYR,4.4662
202504,SAR,3.7526
202504,SDR,0.7684
202504,SGD,1.361
202504,THB,34.2483
202504,TWD,32.883
202504,USD,1
202505,AED,3.673
202505,CAD,1.4392
202505,CNY,7.306
202505,EUR,0.9658
202505,GBP,0.8096
202505,HKD,7.7844
202505,ILS,3.6146
202505,JPY,156.4978
202505,KRW,1451.9777
202505,LKR,295.9917
202505,MXN,20.5647
202505,MYR,4.4662
202505,SAR,3.7526
202505,SDR,0.7684
202505,SGD,1.361
202505,THB,34.2483
202505,TWD,32.883
202505,USD,1
202506,AED,3.673
202506,CAD,1.4392
202506,CNY,7.306
202506,EUR,0.9658
202506,GBP,0.8096
202506,HKD,7.7844
202506,ILS,3.6146
202506,JPY,156.4978
202506,KRW,1451.9777
202506,LKR,295.9917
202506,MXN,20.5647
202506,MYR,4.4662
202506,SAR,3.7526
202506,SDR,0.7684
202506,SGD,1.361
202506,THB,34.2483
202506,TWD,32.883
202506,USD,1
202507,AED,3.673
202507,CAD,1.4392
202507,CNY,7.306
202507,EUR,0.9658
202507,GBP,0.8096
202507,HKD,7.7844
202507,ILS,3.6146
202507,JPY,156.4978
202507,KRW,1451.9777
202507,LKR,295.9917
202507,MXN,20.5647
202507,MYR,4.4662
202507,SAR,3.7526
202507,SDR,0.7684
202507,SGD,1.361
202507,THB,34.2483
202507,TWD,32.883
202507,USD,1
202508,AED,3.673
202508,CAD,1.4392
202508,CNY,7.306
202508,EUR,0.9658
202508,GBP,0.8096
202508,HKD,7.7844
202508,ILS,3.6146
202508,JPY,156.4978
202508,KRW,1451.9777
202508,LKR,295.9917
202508,MXN,20.5647
202508,MYR,4.4662
202508,SAR,3.7526
202508,SDR,0.7684
202508,SGD,1.361
202508,THB,34.2483
202508,TWD,32.883
202508,USD,1
202509,AED,3.673
202509,CAD,1.4392
202509,CNY,7.306
202509,EUR,0.9658
202509,GBP,0.8096
202509,HKD,7.7844
202509,ILS,3.6146
202509,JPY,156.4978
202509,KRW,1451.9777
202509,LKR,295.9917
202509,MXN,20.5647
202509,MYR,4.4662
202509,SAR,3.7526
202509,SDR,0.7684
202509,SGD,1.361
202509,THB,34.2483
202509,TWD,32.883
202509,USD,1
202510,AED,3.673
202510,CAD,1.4392
202510,CNY,7.306
202510,EUR,0.9658
202510,GBP,0.8096
202510,HKD,7.7844
202510,ILS,3.6146
202510,JPY,156.4978
202510,KRW,1451.9777
202510,LKR,295.9917
202510,MXN,20.5647
202510,MYR,4.4662
202510,SAR,3.7526
202510,SDR,0.7684
202510,SGD,1.361
202510,THB,34.2483
202510,TWD,32.883
202510,USD,1
202511,AED,3.673
202511,CAD,1.4392
202511,CNY,7.306
202511,EUR,0.9658
202511,GBP,0.8096
202511,HKD,7.7844
202511,ILS,3.6146
202511,JPY,156.4978
202511,KRW,1451.9777
202511,LKR,295.9917
202511,MXN,20.5647
202511,MYR,4.4662
202511,SAR,3.7526
202511,SDR,0.7684
202511,SGD,1.361
202511,THB,34.2483
202511,TWD,32.883
202511,USD,1
202512,AED,3.673
202512,CAD,1.4392
202512,CNY,7.306
202512,EUR,0.9658
202512,GBP,0.8096
202512,HKD,7.7844
202512,ILS,3.6146
202512,JPY,156.4978
202512,KRW,1451.9777
202512,LKR,295.9917
202512,MXN,20.5647
202512,MYR,4.4662
202512,SAR,3.7526
202512,SDR,0.7684
202512,SGD,1.361
202512,THB,34.2483
202512,TWD,32.883
202512,USD,1
202501,AED,3.673
202501,CAD,1.4254
202501,CNY,7.2814
202501,EUR,0.9553
202501,GBP,0.7913
202501,HKD,7.7735
202501,ILS,3.622
202501,JPY,154.0118
202501,KRW,1441.1909
202501,LKR,291.6795
202501,MXN,20.2637
202501,MYR,4.4613
202501,SAR,3.7568
202501,SDR,0.7626
202501,SGD,1.3513
202501,THB,34.1561
202501,TWD,32.5881
202501,USD,1
202502,AED,3.673
202502,CAD,1.4392
202502,CNY,7.306
202502,EUR,0.9658
202502,GBP,0.8096
202502,HKD,7.7844
202502,ILS,3.6146
202502,JPY,156.4978
202502,KRW,1451.9777
202502,LKR,295.9917
202502,MXN,20.5647
202502,MYR,4.4662
202502,SAR,3.7526
202502,SDR,0.7684
202502,SGD,1.361
