base_year_month,port_code,full_empty_code,container_code,currency_code,ts_cost
202501,AEAUH02,F,D2,AED,137
202501,AEAUH02,F,D4,AED,137
202501,AEAUH02,F,D5,AED,137
202501,AEAUH02,F,D7,AED,137
202501,AEAUH02,F,R2,AED,137
202501,AEAUH02,F,R5,AED,137
202501,AEAUH02,M,D2,AED,130
202501,AEAUH02,M,D4,AED,137
202501,AEAUH02,M,D5,AED,137
202501,AEAUH02,M,D7,AED,137
202501,AEAUH02,M,R2,AED,130
202501,AEAUH02,M,R5,AED,137
202501,AEAUH03,F,D2,AED,422
202501,AEAUH03,F,D4,AED,670
202501,AEAUH03,F,D5,AED,670
202501,AEAUH03,F,D7,AED,670
202501,AEAUH03,F,R2,AED,422
202501,AEAUH03,F,R5,AED,670
202501,AEAUH03,M,D2,AED,260
202501,AEAUH03,M,D4,AED,355
202501,AEAUH03,M,D5,AED,355
202501,AEAUH03,M,D7,AED,355
202501,AEAUH03,M,R2,AED,260
202501,AEAUH03,M,R5,AED,355
202501,AEJEA01,F,D2,AED,171
202501,AEJEA01,F,D4,AED,234
202501,AEJEA01,F,D5,AED,234
202501,AEJEA01,F,D7,AED,234
202501,AEJEA01,F,R2,AED,171
202501,AEJEA01,F,R5,AED,234
202501,AEJEA01,M,D2,AED,134
202501,AEJEA01,M,D4,AED,203
202501,AEJEA01,M,D5,AED,203
202501,AEJEA01,M,D7,AED,203
202501,AEJEA01,M,R2,AED,134
202501,AEJEA01,M,R5,AED,203
202501,AEJEA02,F,D2,AED,171
202501,AEJEA02,F,D4,AED,234
202501,AEJEA02,F,D5,AED,234
202501,AEJEA02,F,D7,AED,234
202501,AEJEA02,F,R2,AED,171
202501,AEJEA02,F,R5,AED,234
202501,AEJEA02,M,D2,AED,134
202501,AEJEA02,M,D4,AED,203
202501,AEJEA02,M,D5,AED,203
202501,AEJEA02,M,D7,AED,203
202501,AEJEA02,M,R2,AED,134
202501,AEJEA02,M,R5,AED,203
202501,AEJEA03,F,D2,AED,171
202501,AEJEA03,F,D4,AED,234
202501,AEJEA03,F,D5,AED,234
202501,AEJEA03,F,D7,AED,234
202501,AEJEA03,F,R2,AED,171
202501,AEJEA03,F,R5,AED,234
202501,AEJEA03,M,D2,AED,134
202501,AEJEA03,M,D4,AED,203
202501,AEJEA03,M,D5,AED,203
202501,AEJEA03,M,D7,AED,203
202501,AEJEA03,M,R2,AED,134
202501,AEJEA03,M,R5,AED,203
202501,AEJEA04,F,D2,AED,171
202501,AEJEA04,F,D4,AED,234
202501,AEJEA04,F,D5,AED,234
202501,AEJEA04,F,D7,AED,234
202501,AEJEA04,F,R2,AED,171
202501,AEJEA04,F,R5,AED,234
202501,AEJEA04,M,D2,AED,134
202501,AEJEA04,M,D4,AED,203
202501,AEJEA04,M,D5,AED,203
202501,AEJEA04,M,D7,AED,203
202501,AEJEA04,M,R2,AED,134
202501,AEJEA04,M,R5,AED,203
202501,ARBUE01,F,D2,USD,67
202501,ARBUE01,F,D4,USD,67
202501,ARBUE01,F,D5,USD,67
202501,ARBUE01,F,D7,USD,67
202501,ARBUE01,F,R2,USD,67
202501,ARBUE01,F,R5,USD,67
202501,ARBUE01,M,D2,USD,52
202501,ARBUE01,M,D4,USD,52
202501,ARBUE01,M,D5,USD,52
202501,ARBUE01,M,D7,USD,52
202501,ARBUE01,M,R2,USD,52
202501,ARBUE01,M,R5,USD,52
202501,ARBUE03,F,D2,USD,120
202501,ARBUE03,F,D4,USD,120
202501,ARBUE03,F,D5,USD,120
202501,ARBUE03,F,D7,USD,120
202501,ARBUE03,F,R2,USD,120
202501,ARBUE03,F,R5,USD,120
202501,ARBUE05,F,D2,USD,110
202501,ARBUE05,F,D4,USD,110
202501,ARBUE05,F,D5,USD,110
202501,ARBUE05,F,D7,USD,110
202501,ARBUE05,F,R2,USD,110
202501,ARBUE05,F,R5,USD,110
202501,ARBUE05,M,D2,USD,110
202501,ARBUE05,M,D4,USD,110
202501,ARBUE05,M,D5,USD,110
202501,ARBUE05,M,D7,USD,110
202501,ARBUE05,M,R2,USD,110
202501,ARBUE05,M,R5,USD,110
202501,ARROS01,F,D2,USD,50
202501,ARROS01,F,D4,USD,50
202501,ARROS01,F,D5,USD,50
202501,ARROS01,F,D7,USD,50
202501,ARROS01,F,R2,USD,50
202501,ARROS01,F,R5,USD,50
202501,ARROS01,M,D2,USD,50
202501,ARROS01,M,D4,USD,50
202501,ARROS01,M,D5,USD,50
202501,ARROS01,M,D7,USD,50
202501,ARROS01,M,R2,USD,50
202501,ARROS01,M,R5,USD,50
202501,AUADL01,F,D2,AUD,192
202501,AUADL01,F,D4,AUD,192
202501,AUADL01,F,D5,AUD,192
202501,AUADL01,F,R2,AUD,192
202501,AUADL01,F,R5,AUD,192
202501,AUADL01,M,D2,AUD,192
202501,AUADL01,M,D4,AUD,192
202501,AUADL01,M,D5,AUD,192
202501,AUADL01,M,R2,AUD,192
202501,AUADL01,M,R5,AUD,192
202501,AUBNE01,F,D2,AUD,223
202501,AUBNE01,F,D4,AUD,223
202501,AUBNE01,F,D5,AUD,223
202501,AUBNE01,F,D7,AUD,223
202501,AUBNE01,F,R2,AUD,223
202501,AUBNE01,F,R5,AUD,223
202501,AUBNE01,M,D2,AUD,223
202501,AUBNE01,M,D4,AUD,223
202501,AUBNE01,M,D5,AUD,223
202501,AUBNE01,M,R2,AUD,223
202501,AUBNE01,M,R5,AUD,223
202501,AUBNE02,F,D2,AUD,223
202501,AUBNE02,F,D4,AUD,223
202501,AUBNE02,F,D5,AUD,223
202501,AUBNE02,F,D7,AUD,223
202501,AUBNE02,F,R2,AUD,223
202501,AUBNE02,F,R5,AUD,223
202501,AUBNE02,M,D2,AUD,223
202501,AUBNE02,M,D4,AUD,223
202501,AUBNE02,M,D5,AUD,223
202501,AUBNE02,M,R2,AUD,223
202501,AUBNE02,M,R5,AUD,223
202501,AUBNE04,F,D2,AUD,140
202501,AUBNE04,F,D4,AUD,140
202501,AUBNE04,F,D5,AUD,140
202501,AUBNE04,F,R2,AUD,140
202501,AUBNE04,F,R5,AUD,140
202501,AUBNE04,M,D2,AUD,140
202501,AUBNE04,M,D4,AUD,140
202501,AUBNE04,M,D5,AUD,140
202501,AUBNE04,M,D7,AUD,140
202501,AUBNE04,M,R2,AUD,140
202501,AUBNE04,M,R5,AUD,140
202501,AUFRE01,F,D2,AUD,232
202501,AUFRE01,F,D4,AUD,232
202501,AUFRE01,F,D5,AUD,232
202501,AUFRE01,F,R2,AUD,232
202501,AUFRE01,F,R5,AUD,232
202501,AUFRE02,F,D2,AUD,215
202501,AUFRE02,F,D4,AUD,215
202501,AUFRE02,F,D5,AUD,215
202501,AUFRE02,F,D7,AUD,215
202501,AUFRE02,F,R2,AUD,215
202501,AUFRE02,F,R5,AUD,215
202501,AUFRE02,M,D2,AUD,215
202501,AUFRE02,M,D4,AUD,215
202501,AUFRE02,M,D5,AUD,215
202501,AUFRE02,M,R2,AUD,215
202501,AUFRE02,M,R5,AUD,215
202501,AUMEL01,F,D2,AUD,200
202501,AUMEL01,F,D4,AUD,200
202501,AUMEL01,F,D5,AUD,200
202501,AUMEL01,F,D7,AUD,238
202501,AUMEL01,F,R2,AUD,200
202501,AUMEL01,F,R5,AUD,200
202501,AUMEL01,M,D2,AUD,200
202501,AUMEL01,M,D4,AUD,200
202501,AUMEL01,M,D5,AUD,200
202501,AUMEL01,M,R2,AUD,200
202501,AUMEL01,M,R5,AUD,200
202501,AUMEL02,F,D2,AUD,215
202501,AUMEL02,F,D4,AUD,215
202501,AUMEL02,F,D5,AUD,215
202501,AUMEL02,F,D7,AUD,215
202501,AUMEL02,F,R2,AUD,215
202501,AUMEL02,F,R5,AUD,215
202501,AUMEL02,M,D2,AUD,215
202501,AUMEL02,M,D4,AUD,215
202501,AUMEL02,M,D5,AUD,215
202501,AUMEL02,M,R2,AUD,215
202501,AUMEL02,M,R5,AUD,215
202501,AUMEL08,F,D2,AUD,191
202501,AUMEL08,F,D4,AUD,191
202501,AUMEL08,F,D5,AUD,191
202501,AUMEL08,F,D7,AUD,191
202501,AUMEL08,F,R2,AUD,191
202501,AUMEL08,F,R5,AUD,191
202501,AUSYD01,F,D2,AUD,232
202501,AUSYD01,F,D4,AUD,232
202501,AUSYD01,F,D5,AUD,232
202501,AUSYD01,F,D7,AUD,232
202501,AUSYD01,F,R2,AUD,232
202501,AUSYD01,F,R5,AUD,232
202501,AUSYD02,F,D2,AUD,223
202501,AUSYD02,F,D4,AUD,223
202501,AUSYD02,F,D5,AUD,223
202501,AUSYD02,F,D7,AUD,223
202501,AUSYD02,F,R2,AUD,223
202501,AUSYD02,F,R5,AUD,223
202501,AUSYD02,M,D2,AUD,223
202501,AUSYD02,M,D4,AUD,223
202501,AUSYD02,M,D5,AUD,223
202501,AUSYD02,M,R2,AUD,223
202501,AUSYD02,M,R5,AUD,223
202501,AUSYD04,F,D2,AUD,223
202501,AUSYD04,F,D4,AUD,223
202501,AUSYD04,F,D5,AUD,223
202501,AUSYD04,F,D7,AUD,223
202501,AUSYD04,F,R2,AUD,223
202501,AUSYD04,F,R5,AUD,223
202501,AUSYD04,M,D2,AUD,223
202501,AUSYD04,M,D4,AUD,223
202501,AUSYD04,M,D5,AUD,223
202501,AUSYD04,M,R2,AUD,223
202501,AUSYD04,M,R5,AUD,223
202501,AWORJ02,F,D2,USD,132
202501,AWORJ02,F,D4,USD,132
202501,AWORJ02,F,D5,USD,132
202501,AWORJ02,F,D7,USD,132
202501,AWORJ02,F,R2,USD,132
202501,AWORJ02,F,R5,USD,132
202501,AWORJ02,M,D2,USD,230
202501,AWORJ02,M,D4,USD,230
202501,AWORJ02,M,D5,USD,230
202501,AWORJ02,M,D7,USD,230
202501,AWORJ02,M,R2,USD,230
202501,AWORJ02,M,R5,USD,230
202501,BDCGP01,F,D2,USD,65
202501,BDCGP01,F,D4,USD,98
202501,BDCGP01,F,D5,USD,146
202501,BDCGP01,F,D7,USD,146
202501,BDCGP01,F,R2,USD,65
202501,BDCGP01,F,R5,USD,146
202501,BDCGP01,M,D2,USD,38
202501,BDCGP01,M,D4,USD,57
202501,BDCGP01,M,D5,USD,86
202501,BDCGP01,M,D7,USD,86
202501,BDCGP01,M,R2,USD,38
202501,BDCGP01,M,R5,USD,86
202501,BDMGL01,F,D2,USD,82
202501,BDMGL01,F,D4,USD,124
202501,BDMGL01,F,D5,USD,186
202501,BDMGL01,F,D7,USD,186
202501,BDMGL01,F,R2,USD,82
202501,BDMGL01,F,R5,USD,186
202501,BDMGL01,M,D2,USD,42
202501,BDMGL01,M,D4,USD,63
202501,BDMGL01,M,D5,USD,94
202501,BDMGL01,M,D7,USD,94
202501,BDMGL01,M,R2,USD,42
202501,BDMGL01,M,R5,USD,94
202501,BEANR01,F,D2,EUR,59
202501,BEANR01,F,D4,EUR,59
202501,BEANR01,F,D5,EUR,59
202501,BEANR01,F,D7,EUR,59
202501,BEANR01,F,R2,EUR,59
202501,BEANR01,F,R5,EUR,59
202501,BEANR01,M,D2,EUR,59
202501,BEANR01,M,D4,EUR,59
202501,BEANR01,M,D5,EUR,59
202501,BEANR01,M,D7,EUR,59
202501,BEANR01,M,R2,EUR,59
202501,BEANR01,M,R5,EUR,59
202501,BEANR02,F,D2,EUR,59
202501,BEANR02,F,D4,EUR,59
202501,BEANR02,F,D5,EUR,59
202501,BEANR02,F,D7,EUR,59
202501,BEANR02,F,R2,EUR,59
202501,BEANR02,F,R5,EUR,59
202501,BEANR02,M,D2,EUR,59
202501,BEANR02,M,D4,EUR,59
202501,BEANR02,M,D5,EUR,59
202501,BEANR02,M,D7,EUR,59
202501,BEANR02,M,R2,EUR,59
202501,BEANR02,M,R5,EUR,59
202501,BEANR04,F,D2,EUR,74
202501,BEANR04,F,D4,EUR,74
202501,BEANR04,F,D5,EUR,74
202501,BEANR04,F,D7,EUR,74
202501,BEANR04,F,R2,EUR,74
202501,BEANR04,F,R5,EUR,74
202501,BEANR07,F,D2,EUR,73
202501,BEANR07,F,D4,EUR,73
202501,BEANR07,F,D5,EUR,73
202501,BEANR07,F,D7,EUR,73
202501,BEANR07,F,R2,EUR,73
202501,BEANR07,F,R5,EUR,73
202501,BEANR07,M,D2,EUR,73
202501,BEANR07,M,D4,EUR,73
202501,BEANR07,M,D5,EUR,73
202501,BEANR07,M,D7,EUR,73
202501,BEANR07,M,R2,EUR,73
202501,BEANR07,M,R5,EUR,73
202501,BEANR19,F,D2,EUR,107
202501,BEANR19,F,D4,EUR,107
202501,BEANR19,F,D5,EUR,107
202501,BEANR19,F,D7,EUR,107
202501,BEANR19,F,R2,EUR,107
202501,BEANR19,F,R5,EUR,107
202501,BEZEE04,F,D2,EUR,59
202501,BEZEE04,F,D4,EUR,59
202501,BEZEE04,F,D5,EUR,59
202501,BEZEE04,F,D7,EUR,59
202501,BEZEE04,F,R2,EUR,59
202501,BEZEE04,F,R5,EUR,59
202501,BEZEE04,M,D2,EUR,59
202501,BEZEE04,M,D4,EUR,59
202501,BEZEE04,M,D5,EUR,59
202501,BEZEE04,M,D7,EUR,59
202501,BEZEE04,M,R2,EUR,59
202501,BEZEE04,M,R5,EUR,59
202501,BJCOO02,F,D2,EUR,95
202501,BJCOO02,F,D4,EUR,139
202501,BJCOO02,F,D5,EUR,139
202501,BJCOO02,F,D7,EUR,139
202501,BJCOO02,F,R2,EUR,95
202501,BJCOO02,F,R5,EUR,139
202501,BRIBB02,F,D2,BRL,339
202501,BRIBB02,F,D4,BRL,339
202501,BRIBB02,F,D5,BRL,339
202501,BRIBB02,F,D7,BRL,339
202501,BRIBB02,F,R2,BRL,339
202501,BRIBB02,F,R5,BRL,339
202501,BRIOA01,F,D2,BRL,391
202501,BRIOA01,F,D4,BRL,391
202501,BRIOA01,F,D5,BRL,391
202501,BRIOA01,F,D7,BRL,391
202501,BRIOA01,F,R2,BRL,391
202501,BRIOA01,F,R5,BRL,391
202501,BRIOA01,M,D2,BRL,281
202501,BRIOA01,M,D4,BRL,281
202501,BRIOA01,M,D5,BRL,281
202501,BRIOA01,M,D7,BRL,281
202501,BRIOA01,M,R2,BRL,281
202501,BRIOA01,M,R5,BRL,281
