vessel_code,vessel_name,nominal_capacity,own_yn,delivery_port_code,delivery_date,redelivery_port_code,redelivery_date,next_dock_port_code,next_dock_in_date,next_dock_out_date,built_port_code,built_date
V003,V003_name,20000,O,,,,,CNSHA,2026/07/05 00:00:00,2026/07/19 00:00:00,,
V004,V004_name,20000,O,,,,,CNNGB,2027/10/01 00:00:00,2027/10/15 00:00:00,,
V005,V005_name,20000,O,,,,,CNSHA,2027/08/15 00:00:00,2027/08/29 00:00:00,,
V007,V007_name,18000,C,,,CNYTN,2026/04/01 00:00:00,CNNGB,2026/08/15 00:00:00,2026/08/29 00:00:00,,
V008,V008_name,18000,O,,,,,CNSHA,2026/09/10 00:00:00,2026/09/24 00:00:00,,
V015,V015_name,20000,O,,,,,CNSHA,2026/11/05 00:00:00,2026/11/19 00:00:00,,
V016,V016_name,20000,C,,,CNYTN,2028/01/25 00:00:00,CNNGB,2027/10/01 00:00:00,2027/10/15 00:00:00,,
V017,V017_name,18000,C,,,CNSHA,2026/08/01 00:00:00,SGSIN,2027/01/15 00:00:00,2027/01/29 00:00:00,,
V019,V019_name,18000,C,,,CNYTN,2028/01/25 00:00:00,SGSIN,2026/06/15 00:00:00,2026/06/29 00:00:00,,
V022,V022_name,18000,O,,,,,CNSHA,2028/01/15 00:00:00,2028/01/29 00:00:00,,
V025,V025_name,20000,O,,,,,CNNGB,2027/12/15 00:00:00,2027/12/29 00:00:00,,
V027,V027_name,18000,C,,,CNYTN,2028/01/25 00:00:00,CNNGB,2027/10/10 00:00:00,2027/10/24 00:00:00,,
V029,V029_name,18000,O,,,,,CNSHA,2026/11/05 00:00:00,2026/11/19 00:00:00,,
V031,V031_name,18000,C,,,CNYTN,2028/01/25 00:00:00,CNSHA,2026/08/01 00:00:00,2026/08/15 00:00:00,,
V032,V032_name,18000,C,,,CNNGB,2026/08/01 00:00:00,CNSHA,2026/09/01 00:00:00,2026/09/15 00:00:00,,
V033,V033_name,20000,C,,,CNYTN,2028/01/25 00:00:00,SGSIN,2026/10/15 00:00:00,2026/10/29 00:00:00,,
V035,V035_name,20000,C,,,CNYTN,2028/01/25 00:00:00,SGSIN,2027/10/01 00:00:00,2027/10/15 00:00:00,,
V037,V037_name,20000,O,,,,,SGSIN,2028/01/01 00:00:00,2028/01/15 00:00:00,,
V038,V038_name,20000,O,,,,,CNSHA,2028/10/05 00:00:00,2028/10/19 00:00:00,,
V039,V039_name,18000,C,,,CNYTN,2028/01/25 00:00:00,CNNGB,2028/05/05 00:00:00,2028/05/19 00:00:00,,
V040,V040_name,20000,C,,,CNYTN,2028/01/25 00:00:00,CNSHA,2027/01/30 00:00:00,2027/02/13 00:00:00,,
V042,V042_name,20000,C,,,CNYTN,2028/01/25 00:00:00,CNSHA,2027/09/10 00:00:00,2027/09/24 00:00:00,,
V044,V044_name,18000,O,,,,,CNSHA,2030/05/01 00:00:00,2030/05/15 00:00:00,,
V046,V046_name,18000,C,,,CNYTN,2028/01/25 00:00:00,CNNGB,2029/10/11 00:00:00,2029/10/25 00:00:00,,
V048,V048_name,18000,C,,,CNYTN,2028/01/25 00:00:00,CNNGB,2028/11/11 00:00:00,2028/11/25 00:00:00,,
V050,V050_name,18000,O,,,,,SGSIN,2026/07/07 00:00:00,2026/07/21 00:00:00,,
V051,V051_name,18000,O,,,,,CNSHA,2027/07/07 00:00:00,2027/07/21 00:00:00,,
V052,V052_name,18000,C,,,CNYTN,2028/01/25 00:00:00,CNNGB,2028/07/07 00:00:00,2028/07/21 00:00:00,,
V054,V054_name,15000,C,CNSHA,2026/03/01 00:00:00,CNSHA,2036/03/01 00:00:00,,,,,
V055,V055_name,15000,C,CNSHA,2026/05/01 00:00:00,CNSHA,2036/05/01 00:00:00,,,,,
V056,V056_name,15000,C,CNSHA,2026/07/01 00:00:00,CNSHA,2036/07/01 00:00:00,,,,,
V057,V057_name,15000,C,CNSHA,2026/09/01 00:00:00,CNSHA,2036/09/01 00:00:00,,,,,
V058,V058_name,15000,C,CNSHA,2026/11/01 00:00:00,CNSHA,2036/11/01 00:00:00,,,,,
V059,V059_name,20000,C,CNNGB,2026/06/01 00:00:00,CNSHA,2036/06/01 00:00:00,,,,,
V060,V060_name,20000,C,CNNGB,2026/09/01 00:00:00,CNSHA,2036/09/01 00:00:00,,,,,
V061,V061_name,20000,C,CNNGB,2026/11/01 00:00:00,CNSHA,2036/11/01 00:00:00,,,,,
